seed,lambda,train_acc,val_acc,gap,top1,top3,top5,top10,top20
42,0.0,0.9306494269761976,0.6758742286218042,0.2547751983543932,0.6838084043491037,0.8125183661475169,0.8545401116661769,0.8986188657067293,0.9391713194240376
42,1.0,0.8501322362621216,0.6794005289450484,0.1707317073170732,0.6738172200999119,0.8131060828680576,0.8568909785483397,0.9062591830737584,0.9409344695856596
123,0.0,0.9673817220099912,0.6749926535409932,0.2923890684689979,0.6652953276520717,0.8078166323831913,0.8451366441375258,0.8942109903026741,0.9250661181310608
123,1.0,0.9426976197472818,0.6735233617396414,0.2691742580076404,0.6576550102850426,0.8031148986188658,0.8489568028210402,0.8936232735821334,0.9306494269761976
456,0.0,0.9421099030267412,0.6752865119012635,0.2668233911254776,0.6676461945342345,0.8204525418748163,0.8636497208345577,0.9074346165148398,0.940346752865119
456,1.0,0.8942109903026741,0.6735233617396414,0.2206876285630327,0.6667646194534235,0.8181016749926535,0.8636497208345577,0.9103732001175432,0.9391713194240376
789,0.0,0.9894210990302674,0.6805759623861299,0.3088451366441375,0.6702909197766677,0.8063473405818395,0.8468997942991479,0.8903908316191596,0.91595650896268
789,1.0,0.8768733470467235,0.6841022627093741,0.19277108433734935,0.6796943873053188,0.8131060828680576,0.8583602703496914,0.905083749632677,0.9332941522186307
1011,0.0,0.9541580957978254,0.6626506024096386,0.2915074933881868,0.6597120188069351,0.8031148986188658,0.8483690861004995,0.8962679988245665,0.9306494269761975
1011,1.0,0.9512195121951219,0.6652953276520717,0.28592418454305024,0.6614751689685572,0.8025271818983251,0.8445489274169851,0.8851013811342933,0.9244784014105202
2024,0.0,0.874816338524831,0.6749926535409932,0.19982368498383773,0.6864531295915369,0.8163385248310314,0.8612988539523949,0.9115486335586247,0.9394651777843079
2024,1.0,0.9714957390537761,0.6711724948574787,0.3003232441962974,0.6852776961504555,0.8154569497502204,0.8524831031442844,0.9003820158683514,0.9318248604172789
3000,0.0,0.8768733470467235,0.6835145459888334,0.19335880105789005,0.6794005289450484,0.8169262415515721,0.8586541287099618,0.9000881575080811,0.9368204525418748
3000,1.0,0.8712900382015868,0.6849838377901851,0.18630620041140167,0.6788128122245077,0.8204525418748163,0.8610049955921246,0.9074346165148398,0.935351160740523
4000,0.0,0.8874522480164561,0.6752865119012635,0.21216573611519252,0.6688216279753159,0.8131060828680576,0.8527769615045548,0.9012635909491625,0.9315310020570086
4000,1.0,0.9262415515721423,0.675580370261534,0.2506611813106083,0.6664707610931531,0.809285924184543,0.8507199529826623,0.898325007346459,0.9294739935351161
5000,0.0,0.8927416985013223,0.6788128122245077,0.2139288862768146,0.6682339112547752,0.8025271818983251,0.8466059359388775,0.8903908316191596,0.9238906846899795
5000,1.0,0.927710843373494,0.6779312371436967,0.24977960622979722,0.6670584778136938,0.7992947399353512,0.8416103438142816,0.8889215398178079,0.920952101087276
6000,0.0,0.8745224801645607,0.6688216279753159,0.20570085218924483,0.6785189538642374,0.8230972671172495,0.8701146047605054,0.9115486335586247,0.9450484866294446
6000,1.0,0.8718777549221275,0.6729356450191007,0.19894210990302674,0.6796943873053188,0.8251542756391419,0.8662944460769909,0.9062591830737584,0.9418160446664707
7000,0.0,0.87393476344402,0.6799882456655891,0.19394651777843086,0.6679400528945049,0.8236849838377902,0.8665883044372612,0.9062591830737584,0.9365265941816044
7000,1.0,0.9053776079929474,0.6841022627093741,0.2212753452835733,0.6650014692918014,0.8189832500734646,0.8612988539523949,0.9074346165148398,0.9362327358213341
8000,0.0,0.9479870702321481,0.6746987951807228,0.2732882750514253,0.6717602115780194,0.8160446664707611,0.8574786952688804,0.9015574493094328,0.9306494269761975
8000,1.0,0.8695268880399647,0.6732295033793712,0.19629738466059354,0.6738172200999119,0.8204525418748163,0.8645312959153688,0.9124302086394358,0.9400528945048486
9000,0.0,0.9485747869526888,0.6788128122245077,0.2697619747281811,0.6641198942109903,0.8063473405818395,0.845430502497796,0.8965618571848369,0.9294739935351161
9000,1.0,0.9582721128416103,0.6758742286218042,0.28239788421980605,0.6658830443726124,0.8022333235380547,0.8471936526594182,0.8986188657067293,0.9288862768145754
10000,0.0,0.9488686453129591,0.6817513958272113,0.2671172494857478,0.6664707610931531,0.8025271818983251,0.8457243608580665,0.892447840141052,0.927710843373494
10000,1.0,0.8921539817807816,0.6817513958272113,0.2104025859535703,0.6620628856890979,0.803408756979136,0.84866294446077,0.8909785483397002,0.9256538348516016
11000,0.0,0.9274169850132237,0.6799882456655891,0.24742873934763454,0.6794005289450484,0.81516309138995,0.85718483690861,0.8995004407875404,0.926829268292683
11000,1.0,0.8683514545988833,0.6749926535409932,0.19335880105789005,0.6811636791066706,0.8175139582721128,0.863062004114017,0.9068468997942991,0.934469585659712
12000,0.0,0.8865706729356451,0.6899794299147811,0.19659124302086395,0.657948868645313,0.809285924184543,0.8468997942991479,0.9024390243902439,0.9356450191007935
12000,1.0,0.8853952394945637,0.6846899794299148,0.20070526006464884,0.6670584778136938,0.808404349103732,0.851307669703203,0.9030267411107846,0.9347634440199823
13000,0.0,0.9491625036732295,0.670584778136938,0.27857772553629156,0.6761680869820746,0.8069350573023802,0.8507199529826623,0.8959741404642962,0.9282985600940347
13000,1.0,0.7616808698207465,0.6694093446958566,0.0922715251248899,0.6699970614163973,0.8219218336761681,0.8607111372318542,0.9044960329121363,0.9388774610637672
14000,0.0,0.904202174551866,0.6597120188069351,0.24449015574493094,0.6779312371436967,0.8163385248310314,0.8598295621510432,0.9006758742286218,0.9359388774610637
14000,1.0,0.8900969732588893,0.6626506024096386,0.22744637084925068,0.6843961210696444,0.8186893917131942,0.8610049955921246,0.905083749632677,0.9382897443432265
15000,0.0,0.8824566558918602,0.6744049368204525,0.20805171907140763,0.688216279753159,0.8157508081104907,0.8554216867469879,0.9009697325888921,0.9356450191007935
15000,1.0,0.863062004114017,0.6776373787834263,0.18542462533059068,0.6805759623861299,0.8222156920364384,0.8612988539523949,0.9068468997942991,0.9385836027034969
16000,0.0,0.8266235674404937,0.6811636791066706,0.14545988833382306,0.6632383191301793,0.8048780487804879,0.8510138113429327,0.8986188657067293,0.9300617102556568
16000,1.0,0.8707023214810461,0.6802821040258595,0.19042021745518656,0.6547164266823391,0.7995885982956215,0.8460182192183368,0.891566265060241,0.9297678518953865
17000,0.0,0.8862768145753747,0.6767558037026153,0.20952101087275932,0.6729356450191007,0.8163385248310314,0.8618865706729356,0.9033205994710549,0.9377020276226858
17000,1.0,0.8404349103732002,0.6744049368204525,0.16602997355274762,0.6694093446958566,0.8222156920364384,0.8639435791948281,0.9077284748751102,0.9359388774610637
18000,0.0,0.868057596238613,0.682339112547752,0.18571848369086097,0.6796943873053188,0.8219218336761681,0.8651190126359095,0.9074346165148398,0.9315310020570086
18000,1.0,0.9556273875991772,0.6835145459888334,0.27211284161034377,0.6779312371436967,0.8119306494269762,0.8542462533059065,0.8956802821040258,0.9235968263297091
19000,0.0,0.8345577431677931,0.6602997355274758,0.1742580076403173,0.6767558037026153,0.8136937995885983,0.8589479870702321,0.9044960329121363,0.9368204525418748
19000,1.0,0.8927416985013223,0.6676461945342345,0.22509550396708788,0.6711724948574787,0.8163385248310314,0.8586541287099618,0.9086100499559212,0.9385836027034969
