lambda,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce,step
zero-shot,0,,,,,,0.5148398471936526,2.5590322974706936,
4.0,0.23,0.6373787834263884,1.5626908255138363,1.904074451327324,0.14904215395450593,0.2384,,,200.0
4.0,0.47,0.6553041434028798,1.4824840974149163,1.6071609854698181,0.12890934601426124,0.2429,,,400.0
4.0,0.7,0.6673523361739642,1.4345394298062057,1.5515835094451904,0.12732361080124974,0.2471,,,600.0
4.0,0.94,0.6746987951807228,1.3937924730052607,1.5606261625885964,0.12490572765469551,0.2425,,,800.0
4.0,1.17,0.6682339112547752,1.4168934172176453,1.1462586498260499,0.09351992937736213,0.2461,,,1000.0
4.0,1.41,0.6714663532177491,1.423754377125853,1.0402719861268996,0.08715509440749884,0.251,,,1200.0
4.0,1.64,0.6694093446958566,1.4413461357731698,1.0488224723935127,0.0853523431532085,0.2456,,,1400.0
4.0,1.88,0.6749926535409932,1.4153006510754875,1.0905475263297557,0.08884749764576555,0.2458,,,1600.0
4.0,2.11,0.6726417866588305,1.4592921195960626,0.8397694145143032,0.07017978728748858,0.2505,,,1800.0
4.0,2.35,0.6794005289450484,1.451637902847991,0.690163809210062,0.056761376215144994,0.2475,,,2000.0
4.0,2.58,0.6688216279753159,1.4915354299853558,0.6796364346146584,0.056732963575050234,0.2503,,,2200.0
4.0,2.82,0.6738172200999119,1.4878269557983708,0.7206980057060719,0.059546693162992596,0.2484,,,2400.0
4.0,3.05,0.6726417866588305,1.5328662204297543,0.6399438813608868,0.05297987371683121,0.2488,,,2600.0
4.0,3.29,0.6702909197766677,1.5384572216983126,0.4240258317068219,0.03609955647960305,0.254,,,2800.0
4.0,3.52,0.6702909197766677,1.549555113726842,0.43508815988898275,0.03659920645877719,0.2518,,,3000.0
4.0,3.76,0.6650014692918014,1.574806137016476,0.48633385490626097,0.040896916780620816,0.2517,,,3200.0
4.0,final,0.6794005289450484,,,,,0.6785189538642374,1.4460064694351076,2000.0
2.0,0.23,0.6379665001469291,1.561014429728774,1.855676282942295,0.14492908362299203,0.1351,,,200.0
2.0,0.47,0.6523655598001763,1.472631793310458,1.6116663727164269,0.13062879409641026,0.1395,,,400.0
2.0,0.7,0.6550102850426095,1.4564652043670336,1.5663457849621774,0.12762589294463397,0.1401,,,600.0
2.0,0.94,0.6670584778136938,1.4092610265064547,1.5593473836779594,0.12596665030345322,0.1391,,,800.0
2.0,1.17,0.6676461945342345,1.407219088834207,1.1546274843811988,0.0936804612353444,0.1396,,,1000.0
2.0,1.41,0.6650014692918014,1.4314138709080069,1.0690162502229215,0.08968867366202175,0.1437,,,1200.0
2.0,1.64,0.6794005289450484,1.4053259645792586,1.0195687083899976,0.08528956862166524,0.1433,,,1400.0
2.0,1.88,0.6808698207464002,1.3993414196325618,1.0118835572898388,0.08586171856150031,0.1451,,,1600.0
2.0,2.11,0.6679400528945049,1.4897540086530567,0.8360974828526377,0.07115001313388347,0.1454,,,1800.0
2.0,2.35,0.6744049368204525,1.4675616713007023,0.6658627800643444,0.055436502350494264,0.1427,,,2000.0
2.0,2.58,0.677343520423156,1.4776379983284318,0.6592616390436887,0.0563626014161855,0.146,,,2200.0
2.0,2.82,0.6749926535409932,1.4817635307426211,0.6788408138602972,0.05719412876293063,0.1442,,,2400.0
2.0,3.05,0.6738172200999119,1.5229494844311797,0.5913310196145903,0.05086562124080956,0.1468,,,2600.0
2.0,3.29,0.6708786364972084,1.5317897638117184,0.407608732432127,0.034309589117765424,0.1441,,,2800.0
2.0,final,0.6808698207464002,,,,,0.6752865119012635,1.3864600476958,1600.0
