seed,lambda,step,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce
456,20.0,3200,3.76,0.6614751689685572,1.5597100798046102,0.6245594242960215,0.04607724506407976,0.596,,
456,20.0,3400,3.99,0.6673523361739642,1.5165703038135208,0.5872742846608162,0.04450107587501407,0.6025,,
456,20.0,3600,4.23,0.6694093446958566,1.6100699034222006,0.37337090870831163,0.028956962246447802,0.608,,
456,20.0,3800,4.46,0.658830443726124,1.5910283760431756,0.4398155871592462,0.03355700342915952,0.6041,,
456,20.0,4000,4.69,0.6547164266823391,1.5924935339480122,0.4369982171803713,0.03199100029654801,0.5942,,
456,20.0,4200,4.93,0.664707610931531,1.5682811886291101,0.46723975364118814,0.03354201655834913,0.5894,,
456,20.0,4400,5.16,0.6605935938877461,1.6372713489179362,0.3552758994395845,0.02637640937231481,0.5976,,
456,20.0,4600,5.4,0.6673523361739642,1.6471429218658797,0.3083701721392572,0.022801233809441327,0.5966,,
456,20.0,4800,5.63,0.6652953276520717,1.6362657392161613,0.31104779951274397,0.02329189218580723,0.5996,,
456,20.0,5000,5.87,0.6597120188069351,1.6416487881901192,0.29126444533467294,0.02194326091557741,0.6011,,
456,20.0,5200,6.1,0.658830443726124,1.675218590000185,0.26051703333389015,0.019117193510755897,0.5948,,
456,20.0,5400,6.34,0.6605935938877461,1.7009010024887654,0.19439961046911777,0.014430334325879812,0.5975,,
456,20.0,5600,6.57,0.6535409932412577,1.7371801637110904,0.20196835610084235,0.015056662671267986,0.5986,,
456,20.0,5800,6.81,0.6600058771672054,1.7287949130285007,0.2040386051312089,0.015261396374553442,0.5993,,
456,20.0,6000,7.04,0.6641198942109903,1.743779483872794,0.20508407948072999,0.014763996824622155,0.5901,,
456,20.0,1400,final,0.6720540699382898,,,,,0.6632383191301793,1.4366157328840778
789,20.0,200,0.23,0.6370849250661181,1.595847789273695,1.8583225816488267,0.1439164150506258,0.6077,,
789,20.0,400,0.47,0.6503085512782839,1.485558387920011,1.6832332333922386,0.13183007959276438,0.6103,,
789,20.0,600,0.7,0.6576550102850426,1.454910402889291,1.6217529061436653,0.12867998791858554,0.6134,,
789,20.0,800,0.94,0.6611813106082868,1.4162033491894108,1.5774043148756027,0.12644635614007713,0.6159,,
789,20.0,1000,1.17,0.6661769027328828,1.4624498057568596,1.2602428803965449,0.09833520965650677,0.6095,,
789,20.0,1200,1.41,0.6652953276520717,1.4515549303537392,1.1552462755143642,0.09008576431311667,0.6093,,
789,20.0,1400,1.64,0.6644137525712607,1.4229895414200524,1.1511755321919919,0.09166820300742984,0.6143,,
789,20.0,1600,1.88,0.6732295033793712,1.4182646514176271,1.145189573764801,0.08980000613257288,0.6106,,
789,20.0,1800,2.11,0.6732295033793712,1.4876158829825505,0.9899970853328705,0.07638172158971429,0.6068,,
789,20.0,2000,2.35,0.6749926535409932,1.4873603179529769,0.8356381053477526,0.06331629409454763,0.6024,,
789,20.0,2200,2.58,0.6708786364972084,1.4690669566927117,0.8370667451620102,0.06339158538728952,0.6023,,
789,20.0,2400,2.82,0.6814575374669409,1.4569070755016653,0.7829180269688368,0.06036733893677592,0.6066,,
789,20.0,2600,3.05,0.6673523361739642,1.5006449594940467,0.8110260026156902,0.060738461297005414,0.5997,,
789,20.0,2800,3.29,0.6726417866588305,1.5280425872586945,0.5884897819906473,0.04451037405990064,0.602,,
789,20.0,3000,3.52,0.670584778136938,1.542558177758272,0.6056937862932682,0.04456420759670436,0.5954,,
789,20.0,3200,3.76,0.6779312371436967,1.529540281908112,0.5881155896186828,0.04396374374628067,0.5992,,
789,20.0,3400,3.99,0.6770496620628856,1.512637193960335,0.5894045652076602,0.04516069305129349,0.6051,,
789,20.0,3600,4.23,0.6676461945342345,1.563016945286565,0.4036521192267537,0.030364691214635968,0.6007,,
789,20.0,3800,4.46,0.6702909197766677,1.5795291959626374,0.41521989772096274,0.03089334520511329,0.5981,,
789,20.0,4000,4.69,0.6735233617396414,1.5826871226263368,0.41937324626371264,0.030668548718094827,0.5939,,
789,20.0,4200,4.93,0.6708786364972084,1.5971386808176233,0.437260580509901,0.03253460990265012,0.5981,,
789,20.0,4400,5.16,0.6685277696150456,1.667963187693849,0.3214085724204779,0.02429981019347906,0.6019,,
789,20.0,4600,5.4,0.6661769027328828,1.650697292771509,0.3130049668997526,0.023493977533653378,0.6002,,
789,20.0,4800,5.63,0.6676461945342345,1.6742994601047638,0.2854541222890839,0.02143912491388619,0.6003,,
789,20.0,5000,5.87,0.6620628856890979,1.6811240221730337,0.29892370373010635,0.02203224040567875,0.5958,,
789,20.0,5200,6.1,0.6673523361739642,1.7185463667126077,0.2645372965093702,0.01999365506693721,0.6018,,
789,20.0,5400,6.34,0.6735233617396414,1.6892037781553693,0.19895083610899747,0.014245859365910291,0.5888,,
789,20.0,5600,6.57,0.664707610931531,1.745373941364619,0.19701426962390542,0.014516357304528356,0.5957,,
789,20.0,5800,6.81,0.6617690273288275,1.7248568798281534,0.195342508982867,0.014547592839226126,0.5983,,
789,20.0,6000,7.04,0.66382603585072,1.7446389493961878,0.1961320841498673,0.01486488938331604,0.6025,,
789,20.0,2400,final,0.6814575374669409,,,,,0.6826329709080223,1.4615812493603684
1011,20.0,200,0.23,0.6191595650896268,1.6378765586121027,1.9118598473072053,0.1479278463125229,0.6075,,
1011,20.0,400,0.47,0.6359094916250367,1.5569767088810207,1.6172428292036056,0.1291597533971071,0.615,,
1011,20.0,600,0.7,0.6388480752277402,1.5330099578188197,1.608818685412407,0.12689751325175166,0.612,,
1011,20.0,800,0.94,0.6420805171907141,1.4992663060921696,1.5968144741654395,0.12728633562102915,0.6145,,
1011,20.0,1000,1.17,0.6453129591536879,1.53303887253469,1.215914529412985,0.09617723098024726,0.6127,,
1011,20.0,1200,1.41,0.6485454011166618,1.4873811150521976,1.1615770623087882,0.09126062950119376,0.6111,,
1011,20.0,1400,1.64,0.6541287099617984,1.4874610243003368,1.149676789790392,0.08994931956753134,0.6101,,
1011,20.0,1600,1.88,0.6517778430796356,1.4888066459395695,1.1314090263843537,0.08803547235205769,0.6088,,
1011,20.0,1800,2.11,0.6535409932412577,1.5437179853942091,0.9764302136749029,0.0750304947514087,0.6058,,
1011,20.0,2000,2.35,0.6553041434028798,1.5278970989240748,0.789012855887413,0.059101992892101406,0.5997,,
1011,20.0,2200,2.58,0.6550102850426095,1.5353588739844095,0.8509235417097807,0.06428564291447401,0.6017,,
1011,20.0,2400,2.82,0.6485454011166618,1.5409122805296938,0.831154958754778,0.06333289472386242,0.6038,,
1011,20.0,2600,3.05,0.6561857184836909,1.5902007668641185,0.7694695330783725,0.05834173984825611,0.6026,,
1011,20.0,2800,3.29,0.6544225683220688,1.6004699480873397,0.5571906048059464,0.0416650465875864,0.5993,,
1011,20.0,3000,3.52,0.6523655598001763,1.6121821472864097,0.6105238431319594,0.04521441855467856,0.597,,
1011,20.0,3200,3.76,0.6526594181604467,1.5924531712869738,0.6028367783501745,0.045009434940293434,0.5989,,
1011,20.0,3400,3.99,0.6567734352042316,1.5923850466985756,0.6135635244101286,0.04567376292310655,0.5982,,
1011,20.0,3600,4.23,0.6550102850426095,1.6455970652622578,0.419821088060271,0.030944773284718393,0.5958,,
1011,20.0,3800,4.46,0.6567734352042316,1.6509390750983657,0.42675200225785376,0.03244920190423727,0.6033,,
1011,20.0,4000,4.69,0.6497208345577432,1.6468094127373663,0.42780195899307727,0.031146588372066616,0.5929,,
