seed,lambda_emb,gamma_unif,step,epoch,val_acc,val_ce,train_ce,train_embed_loss,train_unif_loss,test_acc,test_ce
42,1.0,8.0,200,0.23,0.6112253893623274,1.737762051043075,2.0084354361891745,0.1499698904156685,-2.166554807424545,,
42,1.0,8.0,400,0.47,0.6350279165442256,1.594098969221185,1.803824845850468,0.1388963640481233,-2.2278519344329832,,
42,1.0,8.0,600,0.7,0.6429620922715251,1.5510721010537207,1.7131756657361985,0.1347148912400007,-2.2898581755161285,,
42,1.0,8.0,800,0.94,0.6532471348809874,1.5264956122228688,1.6898293113708496,0.1336890587955713,-2.3484671461582183,,
42,1.0,8.0,1000,1.17,0.6494269761974728,1.555206969892702,1.4504351395368575,0.1124092894792556,-2.412276793718338,,
42,1.0,8.0,1200,1.41,0.6576550102850426,1.5124640608277,1.4151181775331496,0.108477608859539,-2.4772003614902496,,
42,1.0,8.0,1400,1.64,0.6573611519247723,1.5089583654824754,1.385504303574562,0.1049767527356743,-2.5396198427677152,,
42,1.0,8.0,1600,1.88,0.6661769027328828,1.4866399741018657,1.342166265398264,0.1036375549342483,-2.60109982252121,,
42,1.0,8.0,1800,2.11,0.6691154863355863,1.5372859184054672,1.2651751380460337,0.095821924675256,-2.6617697405815126,,
42,1.0,8.0,2000,2.35,0.6620628856890979,1.5484467196947962,1.146723446547985,0.0836087692249566,-2.723476996421814,,
42,1.0,8.0,2200,2.58,0.6620628856890979,1.5576037951175024,1.1653855276107787,0.087231603693217,-2.783528068065644,,
42,1.0,8.0,2400,2.82,0.6561857184836909,1.5417654163130514,1.144890287220478,0.0876253147516399,-2.840079247951508,,
42,1.0,8.0,2600,3.05,0.6635321774904496,1.5564705590412893,1.1612270145863297,0.0876783193368464,-2.895638315677642,,
42,1.0,8.0,2800,3.29,0.6585365853658537,1.5954696708152198,0.9968570917099714,0.0725527514703571,-2.9541350948810576,,
42,1.0,8.0,3000,3.52,0.6582427270055833,1.5690395299377002,0.9878448129445314,0.0719453734252601,-3.011988216638565,,
42,1.0,8.0,3200,3.76,0.6573611519247723,1.5699152610922364,0.9699610743671656,0.0730180787760764,-3.0675079226493835,,
42,1.0,8.0,3400,3.99,0.6644137525712607,1.5535175810745103,0.9731262124329806,0.0742111030966043,-3.11868145108223,,
42,1.0,8.0,3600,4.23,0.6667646194534235,1.5846506638226354,0.8756820289976894,0.0637713178899139,-3.1700100350379943,,
42,1.0,8.0,3800,4.46,0.6644137525712607,1.5708897448517876,0.8528678374364972,0.062468784712255,-3.2210819149017333,,
42,1.0,8.0,4000,4.69,0.6650014692918014,1.571821457575848,0.8520440265908837,0.0646716339606791,-3.26655972957611,,
42,1.0,8.0,4200,4.93,0.6673523361739642,1.5594193657469897,0.8133505907654762,0.0615134031139314,-3.3132789981365205,,
42,1.0,8.0,4400,5.16,0.6620628856890979,1.6159453156228771,0.8085819332301617,0.0609841132164001,-3.3549196684360503,,
42,1.0,8.0,4600,5.4,0.6682339112547752,1.6335781891443013,0.7254747688025236,0.0540657977107912,-3.3993580520153044,,
42,1.0,8.0,4800,5.63,0.6611813106082868,1.6497196896992954,0.7705859311856329,0.0572739942371845,-3.439136891365051,,
42,1.0,8.0,5000,5.87,0.6641198942109903,1.6293419782830938,0.7601901769451797,0.056972928373143,-3.477733708620072,,
42,1.0,8.0,5200,6.1,0.6620628856890979,1.6513473162782777,0.7069026041962206,0.0525823716446757,-3.512928122282028,,
42,1.0,8.0,5400,6.34,0.6655891860123421,1.6465629949802305,0.6772400603070855,0.0490425577946007,-3.550760658979416,,
42,1.0,8.0,5600,6.57,0.6670584778136938,1.6646155508614413,0.6416227246262133,0.0489951881859451,-3.5830134880542754,,
42,1.0,8.0,5800,6.81,0.6597120188069351,1.6679774649154429,0.6652010948583483,0.0502260686364024,-3.614083502292633,,
42,1.0,8.0,6000,7.04,0.6611813106082868,1.6375172075509254,0.7178745533898473,0.0547757265251129,-3.642392588853836,,
42,1.0,8.0,1800,final,0.6691154863355863,,,,,0.6661769027328828,1.525804599523194
123,1.0,8.0,200,0.23,0.6171025565677344,1.7179213437549234,2.0219904097914694,0.1518911689892411,-2.1658334028720856,,
123,1.0,8.0,400,0.47,0.6317954745812518,1.6401139836328156,1.8245147237181665,0.1398638804256916,-2.227846947908401,,
123,1.0,8.0,600,0.7,0.6432559506317955,1.6027356048839567,1.711967521905899,0.1331580750271678,-2.286470053195953,,
123,1.0,8.0,800,0.94,0.6476638260358507,1.560248584317138,1.6138795936107635,0.1292950100824237,-2.3485230815410616,,
123,1.0,8.0,1000,1.17,0.6429620922715251,1.57435253962257,1.4336152561753988,0.1084339454397559,-2.4130657386779784,,
123,1.0,8.0,1200,1.41,0.6500146929180135,1.542289374682471,1.3939231020212173,0.1050858388654887,-2.476671057939529,,
123,1.0,8.0,1400,1.64,0.6476638260358507,1.577541287790282,1.367895233333111,0.1048949995264411,-2.536561642885208,,
123,1.0,8.0,1600,1.88,0.6573611519247723,1.5386085526893465,1.355464983433485,0.1042556797526776,-2.597202092409134,,
123,1.0,8.0,1800,2.11,0.6503085512782839,1.5658473174361107,1.2491165983770045,0.0952744085900485,-2.6590013587474823,,
123,1.0,8.0,2000,2.35,0.6558918601234205,1.5740073682839402,1.0865653961896895,0.0812386182881891,-2.7220799851417543,,
123,1.0,8.0,2200,2.58,0.658830443726124,1.5447510876902195,1.1956261772662402,0.087819879092276,-2.784413741827011,,
123,1.0,8.0,2400,2.82,0.6553041434028798,1.5675012157168629,1.107826297134161,0.0843203264102339,-2.8452758610248567,,
123,1.0,8.0,2600,3.05,0.6553041434028798,1.5879649945893008,1.1511961353570224,0.0865484808292239,-2.8982720148563383,,
123,1.0,8.0,2800,3.29,0.6553041434028798,1.6063260140749696,1.0331307527422906,0.0735758537985384,-2.957522600889206,,
123,1.0,8.0,3000,3.52,0.6570672935645019,1.6089931487721834,0.970043760165572,0.0719145566225051,-3.0147435235977174,,
123,1.0,8.0,3200,3.76,0.6532471348809874,1.5827971001320154,0.9751961796730756,0.0730824233591556,-3.0687990081310272,,
123,1.0,8.0,3400,3.99,0.6629444607699089,1.5914832333098992,0.9803302130848168,0.074435097631067,-3.1178841972351075,,
123,1.0,8.0,3600,4.23,0.657948868645313,1.6165188653939198,0.8215610044350978,0.0597123365011066,-3.1679254388809204,,
123,1.0,8.0,3800,4.46,0.6573611519247723,1.6213074867213224,0.8795077278465032,0.0627634028438478,-3.220375493764877,,
123,1.0,8.0,4000,4.69,0.6567734352042316,1.6244506992174184,0.8865237312018871,0.0664128136727958,-3.268488166332245,,
123,1.0,8.0,4200,4.93,0.6558918601234205,1.647847565734453,0.8637865785509348,0.0667655226774513,-3.310366533994675,,
123,1.0,8.0,4400,5.16,0.6558918601234205,1.6389944463346482,0.7856683689169586,0.0575741652585566,-3.3554378426074982,,
123,1.0,8.0,4600,5.4,0.6582427270055833,1.6594162511363155,0.7664059905149042,0.0563809103425592,-3.3986288011074066,,
