lambda,epoch,val_acc,val_ce,test_acc,test_ce,step,train_ce,train_embed_loss,embed_frac
0.5,3.05,0.6744049368204525,1.5052481684664085,,,2600.0,0.6082428829825949,0.14719744018332862,0.1079
0.5,3.29,0.6626506024096386,1.5440990431866435,,,2800.0,0.40180890696123245,0.09877154524438084,0.1095
0.5,3.52,0.6749926535409932,1.5569380831051112,,,3000.0,0.41323857579380274,0.10064041023142636,0.1086
0.5,3.76,0.6758742286218042,1.5509598092264965,,,3200.0,0.4252108526602387,0.10612520140595734,0.1109
0.5,3.99,0.6714663532177491,1.5558013555988157,,,3400.0,0.4213702373951673,0.10628105029463768,0.112
0.5,final,0.6764619453423449,,0.6711724948574787,1.4563467553738738,2200.0,,,
0.1,0.23,0.6494269761974728,1.5372281610755545,,,200.0,1.8762027907371521,0.4002011562138796,0.0209
0.1,0.47,0.652953276520717,1.4659239415767926,,,400.0,1.6012289422750472,0.35408305875957014,0.0216
0.1,0.7,0.6652953276520717,1.4200341795389702,,,600.0,1.5480213925242423,0.3491396400332451,0.0221
0.1,0.94,0.6685277696150456,1.3950945009055153,,,800.0,1.5643410238623618,0.34642844289541247,0.0217
0.1,1.17,0.670584778136938,1.4240458456341252,,,1000.0,1.1490509241819382,0.26838493820279835,0.0228
0.1,1.41,0.6720540699382898,1.4196823590333554,,,1200.0,1.0135862220823766,0.23766749393194914,0.0229
0.1,1.64,0.6720540699382898,1.4104551538592958,,,1400.0,1.0222168800234794,0.24052998654544352,0.023
0.1,1.88,0.67234792829856,1.4287866191096141,,,1600.0,0.9901725628972053,0.23474107682704926,0.0232
0.1,2.11,0.6764619453423449,1.491407767056438,,,1800.0,0.8301056966185569,0.20465934608131647,0.0241
0.1,2.35,0.670584778136938,1.474822253023846,,,2000.0,0.6425543761998415,0.1542127490323037,0.0234
0.1,2.58,0.6717602115780194,1.4966103001321165,,,2200.0,0.6191627018153667,0.15334855537861586,0.0242
0.1,2.82,0.6767558037026153,1.4875706783680576,,,2400.0,0.6602515978366137,0.16258882315829395,0.024
0.1,3.05,0.6767558037026153,1.5341217251882602,,,2600.0,0.6111670499294997,0.15315381138585507,0.0244
0.1,3.29,0.6779312371436967,1.5231247260627976,,,2800.0,0.361980387121439,0.09131685818545521,0.0246
0.1,3.52,0.6746987951807228,1.5559503107763828,,,3000.0,0.409707155469805,0.10191227379720658,0.0243
0.1,3.76,0.670584778136938,1.5469556020054438,,,3200.0,0.4312442423403263,0.1091207383479923,0.0247
0.1,3.99,0.6726417866588305,1.5831784065719776,,,3400.0,0.429292476028204,0.10761191535741091,0.0245
0.1,4.23,0.6741110784601821,1.6006258690388735,,,3600.0,0.24508428825065492,0.0628790508210659,0.025
0.1,4.46,0.6735233617396414,1.6248556123107734,,,3800.0,0.236411346308887,0.06089541042922065,0.0251
0.1,4.69,0.67234792829856,1.6201685681400528,,,4000.0,0.2553389196563512,0.06578508236561902,0.0251
0.1,final,0.6779312371436967,,0.6764619453423449,1.5004874571190139,2800.0,,,
0.0,0.23,0.6370849250661181,1.5597874956676758,,,200.0,1.8982372346520424,0.0,0.0
0.0,0.47,0.6538348516015281,1.4751351679506421,,,400.0,1.6536429315805434,0.0,0.0
0.0,0.7,0.6667646194534235,1.4316648828293204,,,600.0,1.5570453417301178,0.0,0.0
0.0,0.94,0.6641198942109903,1.3960536774154835,,,800.0,1.5249751898646355,0.0,0.0
0.0,1.17,0.670584778136938,1.417528286606923,,,1000.0,1.1188955267518759,0.0,0.0
0.0,1.41,0.675580370261534,1.416834839697694,,,1200.0,0.9750838404893876,0.0,0.0
0.0,1.64,0.6752865119012635,1.4219768970915754,,,1400.0,1.0031313133984805,0.0,0.0
0.0,1.88,0.6761680869820746,1.4142716013523469,,,1600.0,1.037597898989916,0.0,0.0
0.0,2.11,0.6761680869820746,1.4607236589092456,,,1800.0,0.8460210811719299,0.0,0.0
0.0,2.35,0.6735233617396414,1.4675205134396128,,,2000.0,0.6098727085441351,0.0,0.0
0.0,2.58,0.6685277696150456,1.480031447465932,,,2200.0,0.6611076186969876,0.0,0.0
0.0,2.82,0.6726417866588305,1.4637837111774767,,,2400.0,0.6303474277257919,0.0,0.0
0.0,3.05,0.67234792829856,1.517100130871503,,,2600.0,0.570838869663421,0.0,0.0
0.0,3.29,0.6746987951807228,1.5253224354297528,,,2800.0,0.3729936320334673,0.0,0.0
0.0,final,0.6761680869820746,,0.683220687628563,1.4076289195997589,1600.0,,,
