seed,lambda_emb,gamma_unif,step,epoch,val_acc,val_ce,train_embed_loss,train_unif_loss,test_acc,test_ce
42,1.0,8.0,200,0.23,0.6156332647663826,2.123536501847188,0.4766712218523025,-2.163846368789673,,
42,1.0,8.0,400,0.47,0.6247428739347635,2.2175205444329773,0.4293801711499691,-2.220360109806061,,
42,1.0,8.0,600,0.7,0.6370849250661181,2.239135591678328,0.4094453685730695,-2.276724660396576,,
42,1.0,8.0,800,0.94,0.6373787834263884,2.246676128573306,0.4064238526672125,-2.3328087592124938,,
42,1.0,8.0,1000,1.17,0.6506024096385542,2.18863881746093,0.3401012498885393,-2.388892171382904,,
42,1.0,8.0,1200,1.41,0.6476638260358507,2.2700421537348987,0.3296256855130196,-2.452919716835022,,
42,1.0,8.0,1400,1.64,0.6459006758742286,2.261354237558419,0.3331158960983157,-2.5118044698238373,,
42,1.0,8.0,1600,1.88,0.6544225683220688,2.315265706373319,0.3357929304987192,-2.566228092908859,,
42,1.0,8.0,1800,2.11,0.6555980017631502,2.2831373561262347,0.3058563733845949,-2.623551524877548,,
42,1.0,8.0,2000,2.35,0.6558918601234205,2.297533269869801,0.2718107146769762,-2.6840972459316252,,
42,1.0,8.0,2200,2.58,0.6532471348809874,2.3731067818256992,0.2771560818329453,-2.7435550010204315,,
42,1.0,8.0,2400,2.82,0.6567734352042316,2.313016454695499,0.2907238060981035,-2.798038935661316,,
42,1.0,8.0,2600,3.05,0.6632383191301793,2.3341373968853025,0.2742231623083353,-2.85159950017929,,
42,1.0,8.0,2800,3.29,0.6541287099617984,2.414467449170542,0.2397470885142684,-2.909054216146469,,
42,1.0,8.0,3000,3.52,0.6570672935645019,2.39150779663448,0.2460101490095257,-2.967791920900345,,
42,1.0,8.0,3200,3.76,0.6508962679988246,2.442092997333144,0.2343375665694475,-3.0217562782764436,,
42,1.0,8.0,3400,3.99,0.6532471348809874,2.384972589005627,0.2432252050936222,-3.0707720589637755,,
42,1.0,8.0,3600,4.23,0.6558918601234205,2.4155321285640916,0.2144181586243212,-3.121702488660812,,
42,1.0,8.0,3800,4.46,0.6573611519247723,2.4329664439111816,0.2139508555084467,-3.1744282984733583,,
42,1.0,8.0,2600,final,0.6632383191301793,,,,0.664707610931531,2.36252064400829
123,1.0,8.0,200,0.23,0.6085806641198942,2.260596993615478,0.4763498227298259,-2.1640740144252777,,
123,1.0,8.0,400,0.47,0.6129885395239495,2.3409803640551683,0.4348194225877523,-2.2227070832252505,,
123,1.0,8.0,600,0.7,0.6312077578607111,2.2524110850536783,0.4068055495619774,-2.277869395017624,,
123,1.0,8.0,800,0.94,0.636203349985307,2.27631489434664,0.3967122213542461,-2.332566351890564,,
123,1.0,8.0,1000,1.17,0.6444313840728769,2.312672232866918,0.3492716895788908,-2.3885292172431947,,
123,1.0,8.0,1200,1.41,0.646194534234499,2.319024823113396,0.3329853025823832,-2.448846701383591,,
123,1.0,8.0,1400,1.64,0.6438436673523362,2.3157471788479516,0.3200400563329458,-2.50701957821846,,
123,1.0,8.0,1600,1.88,0.6479576843961211,2.3966462051486603,0.3332663685083389,-2.5663068783283234,,
123,1.0,8.0,1800,2.11,0.6420805171907141,2.393576726050297,0.3100440724939108,-2.6225844335556032,,
123,1.0,8.0,2000,2.35,0.6441375257126065,2.3982639584581955,0.2749209619313478,-2.6860668671131136,,
123,1.0,8.0,2200,2.58,0.646194534234499,2.3964048996414467,0.2773703211173415,-2.745654754638672,,
123,1.0,8.0,2400,2.82,0.6535409932412577,2.4009619568888665,0.2752135127782821,-2.7992616152763365,,
123,1.0,8.0,2600,3.05,0.6523655598001763,2.414462423660879,0.2619423031061887,-2.854490282535553,,
123,1.0,8.0,2800,3.29,0.6511901263590949,2.501925795455908,0.2337377201020717,-2.9131081879138945,,
123,1.0,8.0,3000,3.52,0.6497208345577432,2.492123015130789,0.2432958196476101,-2.966934063434601,,
123,1.0,8.0,3200,3.76,0.6541287099617984,2.500942245497971,0.2372038632631302,-3.022469702959061,,
123,1.0,8.0,3400,3.99,0.6500146929180135,2.4755264287341037,0.2423113940283656,-3.0702278804779053,,
123,1.0,8.0,3600,4.23,0.6479576843961211,2.523335694636172,0.2185835835523903,-3.119409204721451,,
123,1.0,8.0,3800,4.46,0.6541287099617984,2.5661745806003786,0.211234876383096,-3.1705426371097563,,
123,1.0,8.0,4000,4.69,0.652953276520717,2.5123005321787413,0.2093529752641916,-3.2191939306259156,,
123,1.0,8.0,4200,4.93,0.6600058771672054,2.5646286864789345,0.213756438056007,-3.262773804664612,,
123,1.0,8.0,4400,5.16,0.6585365853658537,2.5992743799415297,0.1848778999876231,-3.3103158962726593,,
123,1.0,8.0,4600,5.4,0.657948868645313,2.5858805296598306,0.1948247653525322,-3.3542792117595672,,
123,1.0,8.0,4800,5.63,0.657948868645313,2.620641417304383,0.1925144826620817,-3.395751941204071,,
123,1.0,8.0,5000,5.87,0.6517778430796356,2.634180705721785,0.1964168592914938,-3.438732478618622,,
