lambda,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce,step,seed
2.0,2.11,0.6679400528945049,1.4897540086530567,0.8360974828526377,0.0711500131338834,0.1454,,,1800.0,42
2.0,2.35,0.6744049368204525,1.4675616713007025,0.6658627800643444,0.0554365023504942,0.1427,,,2000.0,42
2.0,2.58,0.677343520423156,1.4776379983284318,0.6592616390436887,0.0563626014161855,0.146,,,2200.0,42
2.0,2.82,0.6749926535409932,1.4817635307426211,0.6788408138602972,0.0571941287629306,0.1442,,,2400.0,42
2.0,3.05,0.6738172200999119,1.5229494844311795,0.5913310196145903,0.0508656212408095,0.1468,,,2600.0,42
2.0,3.29,0.6708786364972084,1.5317897638117184,0.407608732432127,0.0343095891177654,0.1441,,,2800.0,42
2.0,final,0.6808698207464002,,,,,0.6752865119012635,1.3864600476958,1600.0,42
1.0,0.23,0.635321774904496,1.5536311790325206,1.8626713478565216,0.1467744698189199,0.073,,,200.0,42
1.0,0.47,0.6544225683220688,1.481599193450601,1.6016383844614028,0.1321439947932958,0.0762,,,400.0,42
1.0,0.7,0.658830443726124,1.4501729697698431,1.553436633348465,0.1257077416405081,0.0749,,,600.0,42
1.0,0.94,0.67234792829856,1.3996550335783906,1.561404819190502,0.1258687603473663,0.0746,,,800.0,42
1.0,1.17,0.6661769027328828,1.4266986798362595,1.1439161647856235,0.0959005036018788,0.0774,,,1000.0,42
1.0,1.41,0.669703203056127,1.4231153186492769,1.008616878837347,0.0847167325858026,0.0775,,,1200.0,42
1.0,1.64,0.6738172200999119,1.4367860306055449,1.0035087332129478,0.0851515180058777,0.0782,,,1400.0,42
1.0,1.88,0.675580370261534,1.418101533883955,1.0660753963887692,0.0887227191776037,0.0768,,,1600.0,42
1.0,2.11,0.675580370261534,1.4708709664338482,0.8233505283819977,0.0703761575650423,0.0787,,,1800.0,42
1.0,2.35,0.6746987951807228,1.4731691451395676,0.6672126884758472,0.0564112252090126,0.078,,,2000.0,42
1.0,2.58,0.6752865119012635,1.455974417812783,0.6490336657315493,0.0566629018541425,0.0803,,,2200.0,42
1.0,2.82,0.6744049368204525,1.4547847080784198,0.654518420174718,0.0567348347790539,0.0798,,,2400.0,42
1.0,3.05,0.6694093446958566,1.534181573050813,0.6134126828983426,0.0542388241924345,0.0812,,,2600.0,42
1.0,3.29,0.6788128122245077,1.518891890522595,0.38443627435714,0.0339550301991403,0.0812,,,2800.0,42
1.0,3.52,0.6714663532177491,1.52188491222265,0.407217789888382,0.0360810291580855,0.0814,,,3000.0,42
