anchor_token,spearman_r,p_value,n_pairs
 colors,-0.1519909831966758,5.887237764822514e-05,693
".,",-0.15188387522445018,5.959184105278256e-05,693
 goals,-0.15184565967252875,0.002447763114753234,396
 Illinois,-0.15178286877765432,0.008794405432863153,297
 control,-0.1508765204942597,2.0101012810285902e-05,792
 doses,-0.15087192787545728,0.002611870588445673,396
 artists,-0.15079972892566645,6.158518244453131e-06,891
ised,-0.15067695358797772,0.00022812582909503926,594
 want,-0.15050877273373398,1.6738466129073374e-20,3762
 question,-0.14981503861414838,2.1947701616077887e-06,990
 rest,-0.14978421744159412,2.3106359990085598e-05,792
 developed,-0.14969504461086708,0.000250889846247487,594
 golf,-0.14947952279694582,0.009887762060650238,297
 here,-0.1490554611439992,9.48106546395555e-15,2673
 ground,-0.1484037010005026,8.80386119499876e-05,693
 My,-0.1481918723384074,0.010550100721993177,297
 motorcycle,-0.148131063842261,0.010582328018405284,297
 flat,-0.1481220512986418,0.01058711189259412,297
 this,-0.14805172942192024,4.5749643603211644e-51,10197
 Green,-0.14795456973321303,2.9117403908587426e-05,792
 ask,-0.1473724359535741,0.003287743061331714,396
 little,-0.14698099644171853,2.0050244969503915e-13,2475
 difference,-0.14682893789062648,0.00010474792584943913,693
 properties,-0.1465540845359205,0.011449087979758006,297
 sp,-0.1462787033201418,0.011606714018217407,297
 was,-0.14623318449224584,1.0494225697947145e-160,33759
 involved,-0.14591500549316908,0.00035988200032083684,594
 anniversary,-0.14564787509296476,0.01197503543063743,297
 production,-0.14563157340282024,3.890065627616869e-05,792
 added,-0.14557730107891387,0.00012011330829187144,693
LE,-0.14547696356471546,0.0037167376480276913,396
 inspiration,-0.14544004805316482,0.0011748122996591275,495
term,-0.14528822282108583,0.003762116501759548,396
 Conditions,-0.14523885696916988,0.0037740679812493724,396
igned,-0.1448840168455935,0.003860991327399301,396
 Town,-0.1447850357034668,0.003885559308836881,396
 great,-0.14470671413004813,2.2886885223314133e-15,2970
 treatment,-0.1444980415757973,0.003957595539746106,396
 live,-0.14448881975530367,4.478678976400852e-05,792
 leaves,-0.1443446632539797,0.003996587243252768,396
 evening,-0.14294147966430348,0.004369762243657187,396
ating,-0.14285361899586937,1.8680071761089957e-05,891
ets,-0.14242384329230146,0.0014884343684208813,495
 Secretary,-0.1422221985637197,0.0005077344872642977,594
 environment,-0.14187637086848845,6.156430920199094e-05,792
 before,-0.14178041114513026,1.4533305709495818e-08,1584
 sections,-0.14169164219862584,0.004728346751942932,396
 hockey,-0.14107815251576622,0.014964961910569487,297
 premises,-0.1405719407079628,0.015333403035040716,297
 been,-0.14044116730665548,1.3438572977433297e-76,17226
 take,-0.14038922603076207,3.517158845364289e-10,1980
+,-0.1401570464134945,0.00021454601882247654,693
 fact,-0.13996285271004835,7.2547001790852826e-12,2376
 *,-0.13974075369128605,0.015955618830671602,297
 story,-0.13966690212898356,1.0308490147825299e-05,990
 Co,-0.13940409655719369,0.016213853585255567,297
 higher,-0.13908732819472494,0.016460161820162408,297
 stalls,-0.1390184649629937,0.01651413817853318,297
 amenities,-0.13838159154085128,0.01702070641726499,297
 first,-0.13836856996891056,2.7268678261616846e-57,13167
 native,-0.1382887244333818,0.01709569475132301,297
 President,-0.1381617039821169,9.587701224224926e-05,792
 Frank,-0.13805503966046315,0.01728566770231658,297
 spend,-0.13792302150943833,0.005975783599153432,396
 dark,-0.1378924701433194,0.01741891193195191,297
 ability,-0.1377505738387286,7.026296760678044e-07,1287
 original,-0.1374917112418486,1.416789210075065e-05,990
",",-0.13727526336580298,0.0,303534
OSS,-0.13706837754040035,0.018108221990165322,297
 learn,-0.1369889098286803,0.00029829958898838803,693
 university,-0.1367922890936459,0.0008299142903544773,594
 marijuana,-0.1367058065068589,0.018418945513488407,297
 person,-0.13659266246206958,1.6135609377775935e-05,990
 announced,-0.13659203133479836,0.0023222899303387864,495
 image,-0.13620252056577153,0.0023909054197896427,495
 do,-0.13618768053129163,1.6138674978894232e-21,4851
 on,-0.13603682475973172,4.913321635929777e-119,28809
 our,-0.13581241151669537,2.945444803135364e-26,6039
 increasing,-0.13573054361939352,0.01927789303738048,297
 drum,-0.13561800816454872,0.019379213581483205,297
 (,-0.13557212904164706,4.867852737824929e-47,11187
 categories,-0.13502558657477587,0.007127783091592317,396
 full,-0.13501796181888687,5.2748095449286235e-05,891
 keep,-0.13470807671572274,3.171349735612797e-06,1188
 battery,-0.13458355360394975,0.00038133267707982446,693
 easier,-0.13421660056641124,0.002770380360285809,495
 corner,-0.13380580298436215,0.007669478671017474,396
 King,-0.13367413580250198,0.0010918370178373787,594
st,-0.13359461163832023,0.00016281512040227104,792
 going,-0.13355634572432368,3.9139629732901635e-10,2178
 drugs,-0.13349349376041397,0.0004256613517363444,693
 based,-0.13338168818808585,2.550538763784392e-05,990
 covered,-0.13332033427654713,0.0029589691847117937,495
 each,-0.13315258646842723,1.6386566578986288e-06,1287
 floor,-0.1329963636602557,0.003029961781644954,495
 hundred,-0.1329930124151223,0.00044758256894370256,693
 capital,-0.13272089363622286,0.022151797042892232,297
 steel,-0.1326295164494085,0.022244563146564228,297
 relationship,-0.13260092124479458,0.0031187137037766446,495
 A,-0.13234687702232856,3.611561609699524e-21,5049
acks,-0.13230331164469308,0.0012295400115762897,594
 buy,-0.13220468845730113,0.0012400393113337026,594
 managed,-0.13204539081455935,0.02284554587514895,297
 organization,-0.13202453734064978,0.008526593866963708,396
's,-0.13201678812128223,3.826086817954334e-98,25146
 official,-0.13197559518496915,3.1066846591308406e-05,990
 hours,-0.13180417323817223,7.946464689209627e-05,891
 Certificate,-0.13163543735970498,0.02327566520728109,297
ung,-0.13162528530964232,0.0005129686255127498,693
EN,-0.13140229858627692,0.008845526423058008,396
 rhythm,-0.13136519930578758,0.023563006181028554,297
 many,-0.13135979281498794,3.132880511496791e-10,2277
 L,-0.13078470340374643,5.1894425037396726e-09,1980
 camera,-0.13020581662598443,0.009488759042957661,396
д,-0.12978384674854018,0.0038224931288114695,495
 national,-0.1292921288405956,0.02587089765671896,297
 science,-0.12920477529232577,0.01005850427197723,396
 Date,-0.1285662475762012,0.026723729990325636,297
 both,-0.1281513139121021,0.0017501298240241534,594
erve,-0.12813867993520348,0.02723729453291627,297
 media,-0.1281307746445077,1.7046248034549635e-06,1386
 staff,-0.12806439341090106,0.0017629233438359237,594
off,-0.1279512449283774,0.004354545763880517,495
 Mel,-0.1277337251644915,0.027731488268828222,297
 seats,-0.12754288725543508,0.00448186302345829,495
 flower,-0.12745382314031645,0.028077550748192424,297
 champion,-0.1272845661010981,0.01123691507067982,396
 personal,-0.1270596928595486,0.0019171554250241266,594
 provided,-0.1269291608464708,0.02873621046568246,297
 maximum,-0.126671344468299,0.011638158927961297,396
 That,-0.1266525307535714,0.02908878986254606,297
 updated,-0.12656982812891687,0.029194915257099434,297
've,-0.12654888272164405,9.970331296390596e-07,1485
 V,-0.12630617496570426,0.00015679862115065629,891
 discrimination,-0.12622499045228086,0.029640996646784313,297
new,-0.1259719007335558,0.012111233874488961,396
 characters,-0.1259231147429523,0.005020656298418504,495
AP,-0.12588974568439595,0.030080246380867856,297
 had,-0.1257178853531936,1.6610801702219898e-17,4554
 consider,-0.12570476843135678,0.01229634328793224,396
 size,-0.1256586076035973,0.0021529110486313402,594
 weeks,-0.12545062690773154,0.012474763847987607,396
iser,-0.12486740604417373,0.03145427660192947,297
friendly,-0.1248595596506577,0.03146502594906566,297
American,-0.12470680402141286,0.01301015774827551,396
2,-0.12447175195508964,9.961606294127719e-12,2970
 with,-0.12446647121510625,1.8804963656256366e-96,27819
 deliver,-0.1244437422173423,0.0010277304342868028,693
positive,-0.12412411154212502,0.03248658566608799,297
 good,-0.12404215564378102,4.9239825170979455e-14,3663
 province,-0.1239858504611566,0.03268175797687724,297
 essence,-0.12377997018687703,0.03297423394633601,297
 Association,-0.12335094712667528,0.03359087767159629,297
 strategy,-0.12330496650737797,0.014074442841873874,396
 famous,-0.12306297619111399,0.014265714529529483,396
 daily,-0.12265906902162367,0.034605996038028344,297
 stock,-0.12251212013620978,0.034824922734961315,297
 mood,-0.1218941767420174,0.006622584997899936,495
 degrees,-0.12183417685051023,0.03585023068681962,297
 mom,-0.12175669001375054,0.015338174149332555,396
 Liverpool,-0.12165034808202937,0.006732837849643607,495
 husband,-0.12152901359639635,0.006788312608229257,495
 spins,-0.12148545822477476,0.03638752677375075,297
о,-0.12108811099381622,0.03700805535052472,297
 join,-0.12094856532178093,0.0031530554544490575,594
ied,-0.12089356853176046,0.016085007312934635,396
ries,-0.12073932121418204,0.0014507026151181564,693
 J,-0.12051487576901727,3.205431337306255e-06,1485
zy,-0.12047383577455081,0.037984987630813025,297
 brand,-0.12046356414687964,0.007293304221866992,495
 click,-0.12005607971168429,7.4031206180598144e-06,1386
N,-0.11997099090119587,0.00033190840489105716,891
 under,-0.11989814355331528,0.016985690363978113,396
ICK,-0.11981751472931317,0.039052813318171044,297
 men,-0.11980584762454695,3.473579236914667e-05,1188
 once,-0.11970009559775009,0.03924650316672979,297
 Business,-0.11950327837294272,0.007776970510706782,495
 to,-0.11947744821654052,0.0,142758
 members,-0.11943684696430859,2.0450196138703368e-07,1881
 bath,-0.11932584666521567,0.03986927295614922,297
 ready,-0.1192093742193872,0.001668117656244432,693
|,-0.11906293464156432,4.2143857564660686e-12,3366
 excellent,-0.11864069827165402,0.041031018109369474,297
 points,-0.11825574980460025,0.008448012219817563,495
 experts,-0.11820241955787482,0.04178903272870165,297
 up,-0.11816506220361578,3.3879920594760574e-24,7326
 i,-0.11802302350376243,1.056269226900026e-05,1386
iate,-0.1179323915350127,0.0422618989762599,297
 a,-0.1176999103536612,0.0,194436
 ensure,-0.11744818822221403,0.0009278665714430646,792
 party,-0.11714369713550606,0.0004585722087374464,891
 war,-0.11713052323706392,0.009097050840212624,495
 made,-0.11692504175942595,5.4104532080688175e-09,2475
 girls,-0.11686995857267928,0.004342490708611053,594
 second,-0.11668233602181727,0.002093620443642843,693
 vocals,-0.11665800369332541,0.020229705835784942,396
 rights,-0.11642401720717455,0.004494551596947997,594
 glac,-0.11641303720654854,0.04500728766211134,297
vens,-0.11635587625990067,0.04511342831075359,297
 manage,-0.11621892581800239,0.020708327371654848,396
 basement,-0.11621845798686618,0.04536945606765856,297
 too,-0.1162107279138413,7.132028845265398e-06,1485
 post,-0.11619085369141674,0.001053492991122303,792
 ever,-0.11618847183705622,0.00218757699511767,693
Cl,-0.11615870515485288,0.009692931627562136,495
 heart,-0.11610846811096827,0.00025119258608955223,990
 Account,-0.1160562353104537,0.020888150694412654,396
 Grand,-0.11597427753658093,0.04582740148672204,297
3,-0.11592733030570403,2.3082019349342209e-07,1980
 SD,-0.11584411444292975,0.04607309323165192,297
ence,-0.1156254520093994,0.02137086144929885,396
 cocaine,-0.11556447557067212,0.046604664773917975,297
 morning,-0.11553078106991242,0.0048136912961219795,594
SE,-0.11523897799255145,0.04722986844330968,297
 e,-0.11487867321381046,0.02223060720193752,396
 Apple,-0.11478763820858882,0.04810838444913327,297
 right,-0.11468560545533406,2.0726556025450546e-08,2376
 planned,-0.11455842991879675,0.04855973409634136,297
yn,-0.11437039978805778,0.048932633603937695,297
 hard,-0.11432601550558417,0.005276515592831162,594
 some,-0.11431750590194734,6.660322217941232e-07,1881
 Del,-0.11429816086059438,0.049076531582251795,297
 green,-0.11410080761357631,0.049471456098657836,297
 bathroom,-0.11395008778477236,0.04977484551083785,297
 passage,-0.11390902737978857,0.04985776602343418,297
un,-0.11387271482932046,0.01123335987656065,495
B,-0.11340333668998465,5.765958168839474e-08,2277
 books,-0.11316767384664647,2.297207343993865e-07,2079
 names,-0.11272234851253776,0.05230448776768178,297
 off,-0.11266305739589154,3.664063529932807e-08,2376
ors,-0.11255947779984066,0.001509820532269232,792
not,-0.112175678779764,0.012513310705377919,495
 member,-0.11212134098483276,0.0015757397076477085,792
 us,-0.11211796105588055,1.3081608363052262e-10,3267
 hoping,-0.11185436001368486,0.05415670334151576,297
ality,-0.11173905360943842,0.054406806302390615,297
 and,-0.11173611446772841,0.0,147411
 sweat,-0.11146631206976021,0.055002208163551745,297
ipe,-0.1113574613278129,0.055241336316308016,297
 protect,-0.11127570846284193,0.0017105027053669192,792
 health,-0.11122844757784403,0.00023530910134079015,1089
 develop,-0.11100435676633272,0.05602299370907743,297
 semester,-0.11099904982090698,0.027195518011828502,396
 knowledge,-0.11067103241327324,0.013754108189953677,495
 used,-0.11029719856939536,2.1768742787170475e-11,3663
 tree,-0.11027326315453946,0.05767054060926977,297
 experienced,-0.10991524453278599,0.014417297152730919,495
 mobile,-0.10989519900030428,0.028771706382877283,396
 Research,-0.10980465210114249,0.028904407444955316,396
 greatest,-0.10961167451168406,0.059195802334324116,297
 my,-0.1095450993928579,4.738041256543833e-22,7722
 football,-0.1092616603684517,0.0020751380580641358,792
 property,-0.10872303913555521,0.004164119450203747,693
 song,-0.10863504331231805,0.0022023301414862105,792
ending,-0.10856565698217967,0.06167520314595821,297
 energy,-0.10790259608162657,0.0006720862940970322,990
 discussion,-0.10782489122456235,0.06348229151056663,297
 highway,-0.10746727449467029,0.06437014546872634,297
 Rob,-0.1073819304017661,0.008813909238684144,594
 always,-0.10701696421434344,0.03325458388118771,396
 defensive,-0.10649344237171748,0.034130937763315924,396
OR,-0.1064729930014187,0.06689235649395044,297
 yet,-0.10628305664149854,0.034488613425932006,396
 soft,-0.10624029086300071,0.005115923709744794,693
 White,-0.10619824154074474,0.005133610798837945,693
erv,-0.10606270484260143,0.01825318768155523,495
PR,-0.10577984296095373,0.03535708534446417,396
 lig,-0.10572695952229622,0.06883752108813868,297
 tell,-0.1056552487698817,0.06902690693666304,297
 Country,-0.10562270298426676,0.06911299972401684,297
"
",-0.1054545613948321,0.0,418770
 parameters,-0.10520774814924047,0.010292082156240681,594
],-0.10518618649306678,0.00028150123708545893,1188
 People,-0.10516932066901553,0.07032147581503853,297
ances,-0.10501696094073246,0.019437192850882523,495
 light,-0.1048065473721067,0.0713008109249358,297
 transferred,-0.10459906586850225,0.07186590480952734,297
"”,",-0.10457126832702546,0.07194189034128724,297
 development,-0.10450371675142071,0.0009912486688379454,990
 &,-0.10446145068908465,9.929264940668707e-06,1782
 as,-0.10444793617447794,2.207367426182912e-40,16137
 days,-0.10439751283776694,0.0018061670793325265,891
*,-0.10433211081625444,0.0032868479360785084,792
 goal,-0.1043075230051278,0.005988179941129913,693
 All,-0.10423366375720838,0.038142752255387026,396
 holidays,-0.10418451679544227,0.07300589730621526,297
 drawings,-0.10417491777878643,0.03825215767950469,396
 mascul,-0.10395691951568874,0.038660472155735,396
 ACL,-0.1036739820648978,0.021055455415681174,495
 subject,-0.10357002247518733,0.07472277329249948,297
 sign,-0.10337457221641773,0.03976935019316119,396
 players,-0.10336753959299816,0.000634627848476938,1089
 application,-0.1031064178415694,0.021773786936296655,495
 me,-0.10305657619080923,9.878797817465933e-16,6039
 How,-0.10303516368403401,0.011985004542942025,594
 according,-0.10287745732559796,0.003751329488222972,792
 carpet,-0.10241082159255166,0.04166351783237904,396
 ,-0.10230840217032164,0.07835054745891476,297
name,-0.10218355712813232,0.02298720868158995,495
 Download,-0.10203749020517512,0.023184536142681973,495
 needs,-0.10200247043184023,8.226612491159138e-05,1485
 role,-0.10195742188356566,0.012912790256504552,594
 easy,-0.10188564557242832,8.383389995750139e-05,1485
 industries,-0.10187734459080737,0.07962225899487768,297
 then,-0.1017642681831755,6.67049477266028e-07,2376
 Zealand,-0.1016903170957777,0.08017919839534118,297
 ch,-0.10162147752988239,0.08038498330309296,297
 amazing,-0.1015005634558384,0.02392254536071785,495
 controlled,-0.10126865667450176,0.08144639460422644,297
 month,-0.10108586308505126,0.0044048561012045,792
 opinion,-0.10097841828367297,0.024659631473847615,495
 band,-0.10097619245791094,0.013812029586882192,594
ard,-0.10097028606679329,0.004450358125291038,792
 North,-0.10086996163729443,0.00787511248121605,693
 opportunity,-0.10043135233159789,0.0026889968718598733,891
 daughter,-0.100363839243796,0.08422018402843172,297
 Mod,-0.10024664048821463,0.08458496544815866,297
 crystal,-0.10011260019043013,0.02592510928426857,495
 decided,-0.100058861730237,0.08517207746236252,297
 victims,-0.10004019944880291,0.04664879574324624,396
 P,-0.09994963755554628,1.0521126541087908e-06,2376
 environmental,-0.09978938309199703,0.08602035708348825,297
 stage,-0.0997703953061957,0.026440496475610517,495
rd,-0.09977039239216307,0.047246647284688664,396
 below,-0.0996331668268699,0.0005837835023189376,1188
 effort,-0.09915047784235903,0.027396634620292654,495
race,-0.09899550020454734,0.048999486626187604,396
 don,-0.09865645257789817,1.0930580769083365e-05,1980
 heater,-0.09821001737004503,0.016650552641651262,594
 customers,-0.09810514107417684,0.005723225669648596,792
win,-0.0978613706712785,0.0922892881104469,297
 grant,-0.09785681452412157,0.09230452352391291,297
 looking,-0.09775465119790214,7.99778121770679e-06,2079
 trading,-0.09714911142165407,0.03068909984748139,495
 issue,-0.09703150646515056,0.0002972694740457405,1386
 wanted,-0.09698385538593614,0.006304708640667928,792
 her,-0.09688014911356545,5.256423905023353e-12,5049
 Col,-0.09682247157555895,0.018257918044727022,594
 your,-0.09680258032484791,6.938201353194714e-34,15642
 single,-0.09676697178741767,0.002303618041223238,990
 weapons,-0.09672686912932489,0.05444646153395118,396
 partners,-0.09664642720499543,0.01847124032886524,594
 social,-0.09660667520337443,0.0965614047890936,297
 house,-0.09660497249607627,3.471629108384871e-07,2772
unch,-0.0963109924021462,0.05549764368415252,396
 lead,-0.09620484691698813,0.01128041328120169,693
 read,-0.09611811665902537,2.6842737085927865e-06,2376
 pesticide,-0.09597735873080758,0.09876266322406624,297
:,-0.09595967840874617,4.589670497140707e-77,37323
 technologies,-0.09586325195084908,0.09916602804308297,297
 yard,-0.09552462956114426,0.057531327012062476,396
 placed,-0.09538655258429549,0.057894714122326066,396
 growth,-0.09533427294772985,0.05803279726072008,396
 think,-0.09521577103588426,3.530886255685323e-05,1881
 election,-0.09503468171270357,0.02052757719608488,594
 today,-0.09494493215840552,0.020647719673209688,594
ment,-0.09479380845668803,0.05947633608730275,396
 wins,-0.094096082152108,0.06138367167466992,396
 events,-0.0939969453958818,0.0011802887686809755,1188
 stadium,-0.09393125384284631,0.061841545748597654,396
 unique,-0.0937189097098355,0.008311941050184018,792
 friends,-0.09370963426802865,0.0004771626673179882,1386
 http,-0.09348867418296287,0.06308492836096381,396
 Jews,-0.09341526580222545,0.10813869607503995,297
 history,-0.09326395278250561,0.038054351577254265,495
ability,-0.09322546186122238,0.03813423168537902,495
 large,-0.09301157543140626,0.00013280751211526405,1683
 Palestinian,-0.09298460607853028,0.03863731333395801,495
 Review,-0.092960477474098,0.06459571131463338,396
 late,-0.09278058617992285,0.039067842747324104,495
av,-0.09261795768100446,0.11119528762809794,297
 smell,-0.09257910558928714,0.03949699325323064,495
 length,-0.09254983006132816,0.06579071632167721,396
 healthy,-0.09252425170069185,0.009178283113220142,792
и,-0.09250276154193371,0.11164246297222274,297
 National,-0.09243650502141841,0.0003614440253425206,1485
hip,-0.09193093126816017,0.04090475099395313,495
 R,-0.09162684990156755,0.00010735029827751328,1782
 raised,-0.09133623339820111,0.11625067436208894,297
 support,-0.09101607478367604,3.23717238192459e-05,2079
 Olympics,-0.09087567335083112,0.11811048142340408,297
 equipment,-0.09084546160393435,0.026827957674443022,594
 preparing,-0.09083315631086897,0.11828333541934086,297
ff,-0.09075738897763151,0.11859185848900032,297
org,-0.09064707931519435,0.11904215910471067,297
 S,-0.09046592835711444,5.168870940372588e-07,3069
 like,-0.09044851362026336,1.045253374167605e-13,6732
 painting,-0.09040419877422257,0.017291007468092378,693
 housing,-0.0904021881918974,0.12004660637843509,297
 devices,-0.09018952358449786,0.0279519394844956,594
 search,-0.09007328183716856,0.017705908845585656,693
 2008,-0.09001646789225687,0.02825514443055763,594
 hear,-0.08991302539031626,0.07390323851606788,396
 things,-0.08986853416368115,0.00022290603073298295,1683
 way,-0.08983710533604301,2.8578817374625647e-09,4356
AT,-0.08918036624208628,0.12515700537643798,297
 art,-0.08916924632944018,0.007739250130257098,891
 talking,-0.08915660525893462,0.12525803502519434,297
 exercises,-0.08882274896195642,0.07748753005860125,396
 cabinets,-0.08854304893341038,0.019739722229346238,693
 lanes,-0.08851285202606983,0.12801935572343567,297
A,-0.08819355531134769,2.713663947388303e-08,3960
 playing,-0.08809876366686796,0.0799446523835068,396
 key,-0.0880200810924123,0.05032722386220922,495
ane,-0.08800083832061799,0.02050771016192317,693
 computing,-0.08799004443008367,0.13029635033349865,297
ot,-0.08786579653476882,0.020702980511759,693
ON,-0.08767755036278044,0.1316722167903607,297
 capacity,-0.08763060467094576,0.08156684499311619,396
 Gram,-0.08755531705684504,0.1322134304205696,297
iation,-0.08752957935586878,0.021196191694879834,693
 acres,-0.08745120135104252,0.132675775353083,297
 Devices,-0.08728807532697505,0.1334026697932715,297
 garlic,-0.0872568681119424,0.08288087019918239,396
 small,-0.08698777750033629,0.0026929454712007073,1188
 modern,-0.08697665271035976,0.08387725024489745,396
 England,-0.08689657253466578,0.0342260224052733,594
 error,-0.08686218512169742,0.13531490157257592,297
ale,-0.08684902565564469,0.053478887532568326,495
 vehicle,-0.0866552753955947,0.13625149025726893,297
 description,-0.08657316299764707,0.05424476358346372,495
 calories,-0.08622364944760158,0.13822128619842097,297
 agency,-0.08604409322345323,0.13904712195368185,297
 album,-0.085916855941897,0.02370650964236049,693
 cute,-0.08581864581748265,0.08809774425079492,396
 beautiful,-0.0857244007100112,0.01046834485557883,891
 thing,-0.08560281667174936,0.0014232680365159438,1386
 yourself,-0.08560110249191154,0.02422704962975887,693
 food,-0.08554174930217147,0.004730794622875559,1089
 cure,-0.08550346665683038,0.14155646484890685,297
 largest,-0.0854239020510053,0.016188345169906748,792
 season,-0.08533482105419546,0.00014370782699041224,1980
active,-0.08525878391775454,0.09019853734348209,396
 Easy,-0.08502812925109308,0.14379123514871825,297
 model,-0.08467617911679284,0.05976201907853133,495
 improving,-0.08462234188945479,0.14572023183560864,297
 release,-0.08454297592600438,0.01732419614365316,792
KR,-0.08453569661663657,0.060188424610479165,495
 achieve,-0.08447633592622664,0.00782839882385139,990
 networks,-0.08417324591588893,0.09438616853688499,396
aspberry,-0.08412649079947286,0.148104048355524,297
und,-0.0841207526077105,0.04041169794422319,594
 women,-0.08411719429164974,0.04042019726511201,594
 send,-0.08384506320156339,0.14947014048404622,297
 senior,-0.08375150817993897,0.14992638292746732,297
 providing,-0.08335053027235323,0.028231697654486115,693
 tools,-0.08329742011841104,0.064056784028694,495
 cr,-0.08324880940548782,0.019119269545993037,792
 filter,-0.08318889678625964,0.06440534982648147,495
 the,-0.08317240852270003,0.0,399366
 balance,-0.08289959045157964,0.15412970047363622,297
 his,-0.082724821088136,2.6523032009641474e-12,7128
 people,-0.0825856971571686,1.4730768036667271e-09,5346
 losing,-0.08209665644819954,0.15817232959245994,297
 contractors,-0.08206451317409015,0.15833581262138052,297
 amount,-0.08204248862965305,0.0067514728848358,1089
 savings,-0.0819430992084671,0.15895448148376579,297
 California,-0.08186363392824407,0.04611539365143389,594
 break,-0.08178938865745139,0.15974032716200806,297
ier,-0.08157659614766655,0.02167756682940448,792
c,-0.08157420179665636,0.0008092002963411835,1683
"""",-0.08152444486799396,3.6982532091874496e-13,7920
 kidn,-0.08116540308232553,0.16296049316224806,297
 completed,-0.08082288719041084,0.07240079235900684,495
 comes,-0.08076157908366959,0.03353032284889677,693
 world,-0.08070072169033303,5.419272247177716e-06,3168
 adorable,-0.08032501073054882,0.1104945228452018,396
>,-0.08013677002958138,0.05092289452313707,594
 marriage,-0.08012642463929451,0.16842998438124257,297
 hit,-0.0801230690048504,0.11139616463559399,396
 district,-0.07995151885487128,0.16936406603801807,297
 arrested,-0.07994673948071646,0.05147662355744304,594
 HBO,-0.07978997755487201,0.17023020337545064,297
 half,-0.0796926158615822,0.07649681011088039,495
 framework,-0.07965676576858584,0.11350024090992646,396
 car,-0.07961848455662415,0.0010790426378631526,1683
л,-0.07942962702857809,0.17217419116618257,297
 end,-0.07942877529945354,0.002190522806328808,1485
 value,-0.07932204336360765,0.008825301119400792,1089
 Instagram,-0.07915821560694909,0.11578418517738981,396
 occasion,-0.07905298797817187,0.17422366177407134,297
ain,-0.07890627558742988,0.17502687970643732,297
ough,-0.07846752486980156,0.11900763807551872,396
oir,-0.07828490298971412,0.08185957136146553,495
 bought,-0.07820747960690498,0.1202392698592279,396
 while,-0.07819354694118617,0.17896806402523172,297
 work,-0.07812077151055126,1.0724770997965413e-05,3168
 represent,-0.07806150196569994,0.17970538883595025,297
 U,-0.07805462891210072,0.0002661388280931868,2178
 25,-0.07797151929592996,0.1802091276743886,297
 symptoms,-0.0775116522573277,0.18279984960950663,297
 stabbed,-0.07736685789795085,0.18362122643523504,297
school,-0.07734103089095896,0.18376802102607545,297
 new,-0.07724402696604105,7.641960392970101e-18,12375
 mailing,-0.07712860493246317,0.1849786817575941,297
mm,-0.07701532632855525,0.021501156162917874,891
 board,-0.0767908052712334,0.03070592925241788,792
 experience,-0.07674210545627962,0.00046143632965318595,2079
 arbitration,-0.07671821280388037,0.1873342027683534,297
 designer,-0.07668426036498227,0.18753006140907436,297
 speed,-0.07663450536146778,0.1279023324631226,396
 design,-0.07637693426869355,0.000670460767048771,1980
 announce,-0.07622793968774391,0.19017701007301377,297
 allow,-0.07619646352275776,0.09037157184085237,495
 Stadium,-0.07616848011099311,0.09049027097702209,495
 strong,-0.07616655400589131,0.13025359223894342,396
ocks,-0.07615654051371402,0.19059363518387867,297
 mean,-0.0761313391064549,0.06370124181394887,594
 bike,-0.07606444624147349,0.1307710546070521,396
 comic,-0.0759890230645627,0.09125446130754351,495
 de,-0.0756722027763341,0.017248032904141137,990
 Page,-0.07559691847547934,0.13316070557171222,396
CA,-0.07545331809607136,0.1339014021475936,396
 requires,-0.07541988271894175,0.19493123508600443,297
 pursue,-0.07531707625439756,0.19554226438716843,297
 committed,-0.0750416005221501,0.19718643617992834,297
 AMD,-0.07498967926033533,0.19749745166275917,297
 pay,-0.07495516726582879,0.09575823725021511,495
 Player,-0.07463641758164787,0.13817555294093312,396
 anti,-0.07451023133443085,0.1388450155652148,396
 together,-0.07430986886687413,0.014174864822318143,1089
 nature,-0.07426795798613742,0.05066975626975564,693
 Click,-0.0742401030188649,0.20202737767034584,297
Description,-0.07405549668030523,0.2031544860987186,297
 agreed,-0.07396886834897516,0.1417454075310738,396
 un,-0.07392348140404299,0.10042766863281523,495
 center,-0.07369956977498515,0.05246862545127663,693
 expected,-0.07355788743226763,0.14397805781523032,396
 word,-0.07352477233690248,0.011245701662360014,1188
 bad,-0.07339883646350259,0.20720062034808473,297
 areas,-0.07312379535284079,0.0290670470363396,891
 mechanism,-0.07289128805333453,0.21036760173531197,297
 processes,-0.0726904082705655,0.14877869028884677,396
 Hampshire,-0.07268248636595448,0.21168054142498505,297
 choose,-0.07258151710224878,0.14938979509519196,396
 enterprise,-0.07252958594678145,0.2126457057030683,297
ppy,-0.07248424855398018,0.077530875859061,594
 memory,-0.07227595777351994,0.05720911270089727,693
 school,-0.07224240233979015,0.005349358782063358,1485
 head,-0.07186802833540702,0.15344124920724436,396
 material,-0.07181723571473933,0.08030660972608995,594
 color,-0.07175111858371591,0.0075342580658387375,1386
 Knights,-0.07166740228652153,0.11126878025636767,495
ama,-0.07166151018657066,0.15462933005761628,396
 pharmacy,-0.07163226720552597,0.2183736770637309,297
ake,-0.07154963762271303,0.1552758232976197,396
 Pakistan,-0.07151968018885822,0.059868700261798705,693
 B,-0.07145202859067028,1.0669142928832723e-06,4653
 economy,-0.07138382730047184,0.1126942472653703,495
lands,-0.07129799803564961,0.2205354080642384,297
