anchor_token,spearman_r,p_value,n_pairs
 May,-0.2886996605268545,9.050925621845478e-15,693
 when,-0.2879961705695776,4.3577985397076084e-54,2772
�,-0.28665732538187044,9.219836790162699e-39,1980
 among,-0.28561804291824816,5.552539819907862e-07,297
 though,-0.2848021366815066,3.0276956747916866e-16,792
 highest,-0.2845829026613154,6.125087802727063e-07,297
 can,-0.28455191991546086,2.655789071057551e-307,16632
 February,-0.28398258050911607,6.482633408540172e-07,297
–,-0.28182751096015507,2.6229370669638616e-12,594
 becoming,-0.28102096632982104,1.2731700211351204e-08,396
oph,-0.2804062040018148,1.373532958227514e-08,396
 2017,-0.2800721463069856,3.6288987362662302e-28,1485
 went,-0.2796202598762948,9.751544635429023e-07,297
 we,-0.27677028362456285,5.2766543028777694e-213,12177
 ID,-0.27635343328352124,1.3179339538673524e-06,297
 2007,-0.2762469514668572,1.330851030511644e-06,297
 mix,-0.27526587795655927,1.4557016080307179e-06,297
 March,-0.27477985726131704,7.778281024445081e-29,1584
bound,-0.27442785690935434,2.8452063292931822e-08,396
 They,-0.2738573983798861,1.7225990839730099e-18,990
 four,-0.27242207173736976,3.618578660060802e-08,396
00,-0.271079426175679,3.0682051752639087e-74,4356
5,-0.26837877030896,1.0908870893568702e-64,3861
 allows,-0.2682035998466729,2.747695144973163e-06,297
net,-0.26675384834293014,7.064591045224058e-08,396
50,-0.2664563520688957,3.2065090694434843e-06,297
 purpose,-0.2659372601697994,7.76951746750013e-08,396
 play,-0.265608239238769,8.072322417029673e-08,396
eds,-0.2652807676074545,3.5554087189682624e-06,297
 November,-0.2652146708011056,3.576064049477907e-06,297
 thought,-0.26328799691994736,7.09058959657628e-11,594
4,-0.26302836935353696,2.2960152151215893e-23,1386
 He,-0.26268339540245217,8.8180945588246e-56,3465
 –,-0.26255933807365744,1.256868257268817e-18,1089
 August,-0.2615293726824429,2.12051823146113e-15,891
 determine,-0.26122523531510494,5.058349207953458e-06,297
 De,-0.26063963350675556,1.1127380760600633e-10,594
 H,-0.260321037613731,1.6387497901616956e-30,1881
 saw,-0.26007098335965584,4.2812612055953765e-09,495
 Mr,-0.26006212831022435,1.5259112717233142e-07,396
king,-0.2599697953388322,5.635065483050305e-06,297
 reading,-0.2579978952722506,1.6504093432999672e-13,792
 settings,-0.2565175130256215,7.561437500834699e-06,297
 them,-0.25629376246672536,8.443038177988626e-87,5742
 did,-0.25292916968649437,1.4139102911690836e-11,693
