seed,lambda,step,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce
5000,0.0,200,0.23,0.6265060240963856,1.567923178961443,1.8548068112134934,0.0,0.0,,
5000,0.0,400,0.47,0.6441375257126065,1.4954948934288261,1.6307919436693192,0.0,0.0,,
5000,0.0,600,0.7,0.6558918601234205,1.4514006566132582,1.5339288012683392,0.0,0.0,,
5000,0.0,800,0.94,0.669703203056127,1.4057745505808523,1.519185134768486,0.0,0.0,,
5000,0.0,1000,1.17,0.6655891860123421,1.4315285285080386,1.157170814871788,0.0,0.0,,
5000,0.0,1200,1.41,0.66382603585072,1.4523897185032766,0.9781731009483338,0.0,0.0,,
5000,0.0,1400,1.64,0.6744049368204525,1.4185557149979005,0.9884811337292194,0.0,0.0,,
5000,0.0,1600,1.88,0.6708786364972084,1.4048846322159678,0.9962513175606728,0.0,0.0,,
5000,0.0,1800,2.11,0.6738172200999119,1.4651681496541429,0.8261362231522799,0.0,0.0,,
5000,0.0,2000,2.35,0.6720540699382898,1.4587414359962314,0.6144411173462868,0.0,0.0,,
5000,0.0,2200,2.58,0.6708786364972084,1.4861059127188836,0.597289836704731,0.0,0.0,,
5000,0.0,2400,2.82,0.6726417866588305,1.49645474067058,0.6245520642399788,0.0,0.0,,
5000,0.0,2600,3.05,0.6746987951807228,1.5312693367066048,0.5917414521798492,0.0,0.0,,
5000,0.0,2800,3.29,0.6708786364972084,1.5642520671306972,0.3664385885745287,0.0,0.0,,
5000,0.0,3000,3.52,0.6738172200999119,1.5696610992458544,0.3685418041050434,0.0,0.0,,
5000,0.0,3200,3.76,0.6699970614163973,1.5813622688007047,0.392960591390729,0.0,0.0,,
5000,0.0,3400,3.99,0.6691154863355863,1.5633272103201177,0.4127556826174259,0.0,0.0,,
5000,0.0,3600,4.23,0.6738172200999119,1.6457720579485875,0.2905286476388574,0.0,0.0,,
5000,0.0,3800,4.46,0.6726417866588305,1.6310246096545726,0.22905853506177665,0.0,0.0,,
5000,0.0,4000,4.69,0.6717602115780194,1.6593257290035566,0.24058324262499808,0.0,0.0,,
5000,0.0,4200,4.93,0.6708786364972084,1.6774171418103967,0.24073943751864135,0.0,0.0,,
5000,0.0,4400,5.16,0.6679400528945049,1.7041588609722338,0.1738269737208975,0.0,0.0,,
5000,0.0,4600,5.4,0.6655891860123421,1.7170452924465525,0.13789071823470295,0.0,0.0,,
5000,0.0,4800,5.63,0.669703203056127,1.7033355962939378,0.13222058178856969,0.0,0.0,,
5000,0.0,5000,5.87,0.6679400528945049,1.7266565020421376,0.14748720389790834,0.0,0.0,,
5000,0.0,5200,6.1,0.6635321774904496,1.7550665414091633,0.1274027391051641,0.0,0.0,,
5000,0.0,5400,6.34,0.6702909197766677,1.7587334093121336,0.08069436336867511,0.0,0.0,,
5000,0.0,5600,6.57,0.6694093446958566,1.7730152519737803,0.08906377627048641,0.0,0.0,,
5000,0.0,5800,6.81,0.6679400528945049,1.7777324694939791,0.09995911771897227,0.0,0.0,,
5000,0.0,6000,7.04,0.6650014692918014,1.8173668772341258,0.08929917665664107,0.0,0.0,,
5000,0.0,2600,final,0.6746987951807228,,,,,0.6664707610931531,1.6360389070583727
5000,0.1,200,0.23,0.6394357919482809,1.5605031965481615,1.8387890535593032,0.0005158087796007749,0.0,,
5000,0.1,400,0.47,0.6453129591536879,1.5044423663682738,1.598381772339344,0.00046348465541086627,0.0,,
5000,0.1,600,0.7,0.657948868645313,1.447719483280266,1.532076412141323,0.0004440336850530002,0.0,,
5000,0.1,800,0.94,0.6661769027328828,1.4141559212690515,1.4996430870890618,0.0004420102324365871,0.0,,
5000,0.1,1000,1.17,0.6726417866588305,1.4183171821488305,1.1630409789830447,0.0003544640425388934,0.0,,
5000,0.1,1200,1.41,0.6726417866588305,1.429579921725775,1.012250964641571,0.00031637796553695807,0.0,,
5000,0.1,1400,1.64,0.6670584778136938,1.4316677026036835,0.997222590520978,0.0003103377042134525,0.0,,
5000,0.1,1600,1.88,0.6688216279753159,1.4323329156614422,0.9838791232556104,0.00030816535208941784,0.0,,
5000,0.1,1800,2.11,0.6802821040258595,1.4630746803947872,0.8273467118199914,0.0002584692085144979,0.0,,
5000,0.1,2000,2.35,0.678225095503967,1.4648150769605588,0.6123485561460257,0.00019557511446691934,0.0,,
5000,0.1,2200,2.58,0.6699970614163973,1.491268448433104,0.6316060720384121,0.00020395516650751234,0.0,,
5000,0.1,2400,2.82,0.67234792829856,1.4757313964789383,0.6390543441474438,0.0002067391007403785,0.0,,
5000,0.1,2600,3.05,0.6770496620628856,1.5410380479415795,0.5726661636307836,0.00018930234204162844,0.0,,
5000,0.1,2800,3.29,0.6764619453423449,1.5371939458112804,0.3948131525143981,0.0001274501062289346,0.0,,
5000,0.1,3000,3.52,0.6717602115780194,1.5711660926355322,0.3747878033295274,0.00012238248064022628,0.0,,
5000,0.1,3200,3.76,0.6726417866588305,1.5830797957841558,0.393241690993309,0.00013434272325866915,0.0,,
5000,0.1,3400,3.99,0.6729356450191007,1.5832634287794092,0.3823712411895394,0.00012723297099000774,0.0,,
5000,0.1,3600,4.23,0.6691154863355863,1.650452929071353,0.23577988678589462,7.757431219715727e-05,0.0,,
5000,0.1,3800,4.46,0.6746987951807228,1.6461323816706914,0.22525414688512682,7.479043520788764e-05,0.0,,
5000,0.1,4000,4.69,0.6749926535409932,1.6690794989672473,0.2344987783022225,8.020761271836818e-05,0.0,,
5000,0.1,4200,4.93,0.6691154863355863,1.6685876085798144,0.22911462124437093,7.876998201254537e-05,0.0,,
5000,0.1,4400,5.16,0.6729356450191007,1.7062964945234622,0.16818834833800791,5.383158980464486e-05,0.0,,
5000,0.1,4600,5.4,0.6717602115780194,1.733823336155107,0.12253734095953404,3.896287582847435e-05,0.0,,
5000,0.1,4800,5.63,0.670584778136938,1.7359778516053663,0.13496118299663068,4.505536954184208e-05,0.0,,
5000,0.1,5000,5.87,0.669703203056127,1.7367256740384547,0.14830413525924085,4.900017616819241e-05,0.0,,
5000,0.1,5200,6.1,0.6702909197766677,1.7541279323374983,0.13289116630796344,4.307270420270015e-05,0.0,,
5000,0.1,5400,6.34,0.6732295033793712,1.775997689987259,0.08317470461130143,2.574781682540106e-05,0.0,,
5000,0.1,5600,6.57,0.677343520423156,1.781858132511176,0.0819916650466621,2.4806452412207136e-05,0.0,,
5000,0.1,5800,6.81,0.6717602115780194,1.7573692470377344,0.09461034180130809,3.0053975202974924e-05,0.0,,
5000,0.1,6000,7.04,0.6711724948574787,1.7888497306850073,0.08780298995319753,2.8040802739752734e-05,0.0,,
5000,0.1,1800,final,0.6802821040258595,,,,,0.6635321774904496,1.5572683215666756
5000,0.5,200,0.23,0.6223920070526007,1.5758390171612637,1.8455230116844177,0.0005095481815806124,0.0001,,
5000,0.5,400,0.47,0.6491331178372025,1.4994671553189425,1.629551767706871,0.00046781301469309253,0.0001,,
5000,0.5,600,0.7,0.6602997355274758,1.4405045123650964,1.5094115829467774,0.00044666844420135024,0.0001,,
5000,0.5,800,0.94,0.6679400528945049,1.4249624597861632,1.5410723558068276,0.0004514829087565886,0.0001,,
5000,0.5,1000,1.17,0.6741110784601821,1.4456314382012228,1.098847119435668,0.0003336117555136298,0.0002,,
5000,0.5,1200,1.41,0.669703203056127,1.4561545551085942,0.940379716604948,0.0002921760857861955,0.0002,,
5000,0.5,1400,1.64,0.6667646194534235,1.4409234606795824,1.0126206167042255,0.00031714328688394746,0.0002,,
5000,0.5,1600,1.88,0.6729356450191007,1.4195290910752774,1.0182190500944852,0.0003129745324258693,0.0002,,
5000,0.5,1800,2.11,0.6758742286218042,1.461064393366921,0.7741331747500226,0.000245716630024333,0.0002,,
5000,0.5,2000,2.35,0.6699970614163973,1.4810329094866321,0.6015464080125094,0.000194211219331919,0.0002,,
5000,0.5,2200,2.58,0.6720540699382898,1.4982092464947538,0.6365733070671559,0.00020609611256077186,0.0002,,
5000,0.5,2400,2.82,0.6776373787834263,1.490123680434506,0.615855441018939,0.00020108318862185114,0.0002,,
5000,0.5,2600,3.05,0.6741110784601821,1.543505022569926,0.5806828314438462,0.00018825906608071818,0.0002,,
5000,0.5,2800,3.29,0.6770496620628856,1.5778523180507893,0.35554300773888825,0.00011929996496292006,0.0002,,
5000,0.5,3000,3.52,0.6652953276520717,1.5855547409704984,0.36325044283643365,0.00012076281042027404,0.0002,,
5000,0.5,3200,3.76,0.6652953276520717,1.5995578054046407,0.40401863409206273,0.00013074639702153945,0.0002,,
5000,0.5,3400,3.99,0.6749926535409932,1.5691250620118107,0.3965872656926513,0.00013323221010068663,0.0002,,
5000,0.5,3600,4.23,0.6749926535409932,1.6252521891261842,0.22367525003443006,7.377651537148311e-05,0.0002,,
5000,0.5,3800,4.46,0.664707610931531,1.661769265502192,0.22451595714315772,7.588835500655478e-05,0.0002,,
5000,0.5,4000,4.69,0.6688216279753159,1.681355777152524,0.22260674651712178,7.673236176287901e-05,0.0002,,
5000,0.5,4200,4.93,0.6720540699382898,1.6621738650887776,0.22690688897389918,7.683178191172147e-05,0.0002,,
5000,0.5,4400,5.16,0.6776373787834263,1.7072799144126092,0.1628429912077263,5.366908697510553e-05,0.0002,,
5000,0.5,4600,5.4,0.6711724948574787,1.7092252742743232,0.127392010781914,4.0498532366655124e-05,0.0002,,
5000,0.5,4800,5.63,0.6752865119012635,1.7118004494963273,0.13325848233886062,4.499619527678078e-05,0.0002,,
