seed,lambda,step,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce
4000,0.0,200,0.23,0.6429620922715251,1.573737301705271,1.8670801296830177,0.0,0.0,,
4000,0.0,400,0.47,0.6558918601234205,1.4791282289454841,1.6559098455309869,0.0,0.0,,
4000,0.0,600,0.7,0.6576550102850426,1.433825554723008,1.6090900172293185,0.0,0.0,,
4000,0.0,800,0.94,0.6553041434028798,1.422131622657333,1.4553093400597572,0.0,0.0,,
4000,0.0,1000,1.17,0.6661769027328828,1.444298428873297,1.1525440254807473,0.0,0.0,,
4000,0.0,1200,1.41,0.6676461945342345,1.4477105026486128,0.9883087910711765,0.0,0.0,,
4000,0.0,1400,1.64,0.675580370261534,1.402455372790046,1.0268582656979561,0.0,0.0,,
4000,0.0,1600,1.88,0.6652953276520717,1.4046738936450598,0.9760285228490829,0.0,0.0,,
4000,0.0,1800,2.11,0.67234792829856,1.4768104431841467,0.8025809287652373,0.0,0.0,,
4000,0.0,2000,2.35,0.6752865119012635,1.4954057880930434,0.62476821616292,0.0,0.0,,
4000,0.0,2200,2.58,0.6655891860123421,1.496778725018895,0.6451535977423191,0.0,0.0,,
4000,0.0,2400,2.82,0.6670584778136938,1.4928579449023074,0.6595488437265158,0.0,0.0,,
4000,0.0,2600,3.05,0.6650014692918014,1.5400325719517818,0.5920160050317645,0.0,0.0,,
4000,0.0,2800,3.29,0.6664707610931531,1.5566991587228856,0.4066912869736552,0.0,0.0,,
4000,0.0,3000,3.52,0.6720540699382898,1.580944086431301,0.3828557230718434,0.0,0.0,,
4000,0.0,3200,3.76,0.670584778136938,1.5682036802763804,0.4169853424280882,0.0,0.0,,
4000,0.0,3400,3.99,0.6658830443726124,1.6101819914717763,0.4132225644774735,0.0,0.0,,
4000,0.0,3600,4.23,0.6667646194534235,1.64974814756737,0.25503025455400347,0.0,0.0,,
4000,0.0,3800,4.46,0.6661769027328828,1.6394460630388845,0.22553063144907357,0.0,0.0,,
4000,0.0,4000,4.69,0.6673523361739642,1.6385016957346636,0.2419730698131025,0.0,0.0,,
4000,0.0,4200,4.93,0.6694093446958566,1.6636840043402825,0.2480115408822894,0.0,0.0,,
4000,0.0,4400,5.16,0.6644137525712607,1.6588002600951508,0.18973913460969924,0.0,0.0,,
4000,0.0,4600,5.4,0.6667646194534235,1.7079367102716307,0.13120705393142998,0.0,0.0,,
4000,0.0,4800,5.63,0.664707610931531,1.7136356276061793,0.152104765875265,0.0,0.0,,
4000,0.0,5000,5.87,0.6655891860123421,1.7102299373779724,0.15738139241933824,0.0,0.0,,
4000,0.0,5200,6.1,0.6679400528945049,1.759893313597624,0.12301900352584198,0.0,0.0,,
4000,0.0,5400,6.34,0.6652953276520717,1.7645591972086523,0.08056142236106098,0.0,0.0,,
4000,0.0,5600,6.57,0.6688216279753159,1.744030480590807,0.08840323291020467,0.0,0.0,,
4000,0.0,5800,6.81,0.6714663532177491,1.781809079202175,0.08752346384804696,0.0,0.0,,
4000,0.0,6000,7.04,0.6694093446958566,1.7949543396164802,0.09290741951670498,0.0,0.0,,
4000,0.0,1400,final,0.675580370261534,,,,,0.6676461945342345,1.4313276478938064
