seed,lambda,step,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce
1011,0.0,200,0.23,0.6297384660593593,1.5938589933021539,1.8548500394821168,0.0,0.0,,
1011,0.0,400,0.47,0.6379665001469291,1.5337775536155196,1.5991225773096085,0.0,0.0,,
1011,0.0,600,0.7,0.6417866588304437,1.488296017519278,1.5850972253084183,0.0,0.0,,
1011,0.0,800,0.94,0.6547164266823391,1.4436533907179339,1.4997693476080896,0.0,0.0,,
1011,0.0,1000,1.17,0.6535409932412577,1.4956263991408303,1.100994149101898,0.0,0.0,,
1011,0.0,1200,1.41,0.6500146929180135,1.5022217327098863,0.9517857083678245,0.0,0.0,,
1011,0.0,1400,1.64,0.652953276520717,1.4935790820574362,1.0319747357070446,0.0,0.0,,
1011,0.0,1600,1.88,0.6576550102850426,1.4622507421121924,1.0177231802046298,0.0,0.0,,
1011,0.0,1800,2.11,0.658830443726124,1.4932050883612351,0.79991441112943,0.0,0.0,,
1011,0.0,2000,2.35,0.6635321774904496,1.5253998155703168,0.6064100275188684,0.0,0.0,,
1011,0.0,2200,2.58,0.6661769027328828,1.5362888063503088,0.6160887975245715,0.0,0.0,,
1011,0.0,2400,2.82,0.6573611519247723,1.5274261801935733,0.6381902400404215,0.0,0.0,,
1011,0.0,2600,3.05,0.6679400528945049,1.5744925374813792,0.6194849474355578,0.0,0.0,,
1011,0.0,2800,3.29,0.6632383191301793,1.6127868807039085,0.36708335623145105,0.0,0.0,,
1011,0.0,3000,3.52,0.6652953276520717,1.6267304991470728,0.388965756483376,0.0,0.0,,
1011,0.0,3200,3.76,0.6611813106082868,1.628394840396295,0.39201472748070954,0.0,0.0,,
1011,0.0,3400,3.99,0.6664707610931531,1.6201874830076144,0.3993670440465212,0.0,0.0,,
1011,0.0,3600,4.23,0.6600058771672054,1.6815507993465517,0.21743685276946054,0.0,0.0,,
1011,0.0,3800,4.46,0.6611813106082868,1.702181178193004,0.23170853009447456,0.0,0.0,,
1011,0.0,4000,4.69,0.6535409932412577,1.7026247522111433,0.23303961174562574,0.0,0.0,,
1011,0.0,4200,4.93,0.6582427270055833,1.7107349244279437,0.24615991751663388,0.0,0.0,,
1011,0.0,4400,5.16,0.6582427270055833,1.7490029407885717,0.15747788189815765,0.0,0.0,,
1011,0.0,4600,5.4,0.6614751689685572,1.7391310101076676,0.1360307320812717,0.0,0.0,,
1011,0.0,4800,5.63,0.6650014692918014,1.7607275919811956,0.14665695702657103,0.0,0.0,,
1011,0.0,5000,5.87,0.6641198942109903,1.770349131658993,0.14345914877019822,0.0,0.0,,
1011,0.0,5200,6.1,0.6576550102850426,1.8117783520104709,0.11698935515712947,0.0,0.0,,
1011,0.0,5400,6.34,0.6667646194534235,1.809348784857836,0.0773984409449622,0.0,0.0,,
1011,0.0,5600,6.57,0.6585365853658537,1.8165138042432016,0.09281496067531407,0.0,0.0,,
1011,0.0,5800,6.81,0.6570672935645019,1.8463949132869428,0.09546290690079332,0.0,0.0,,
1011,0.0,6000,7.04,0.6623567440493682,1.8522359704116567,0.08707988668495091,0.0,0.0,,
1011,0.0,2600,final,0.6679400528945049,,,,,0.6749926535409932,1.581696227757748
1011,0.1,200,0.23,0.6279753158977373,1.6041753397876293,1.8465065014362336,0.0005161845912516582,0.0,,
1011,0.1,400,0.47,0.6397296503085512,1.5257336181855854,1.5737403044104576,0.00045601439735037274,0.0,,
1011,0.1,600,0.7,0.6435498089920658,1.464822658328074,1.593936153948307,0.0004541573071037419,0.0,,
1011,0.1,800,0.94,0.6511901263590949,1.4761718765553606,1.5165621957182884,0.0004470157936157193,0.0,,
1011,0.1,1000,1.17,0.6485454011166618,1.5124801118129356,1.11329485014081,0.0003396825582603924,0.0,,
1011,0.1,1200,1.41,0.6464883925947693,1.4812006401798496,0.9763858984410763,0.00030461956768704115,0.0,,
1011,0.1,1400,1.64,0.6555980017631502,1.4534637730436188,1.0301865381002426,0.00031638205520721384,0.0,,
1011,0.1,1600,1.88,0.6600058771672054,1.4558774172961975,1.0247445875406265,0.00031449406284082213,0.0,,
1011,0.1,1800,2.11,0.658830443726124,1.499291768677964,0.8080936581641436,0.0002506154091224744,0.0,,
1011,0.1,2000,2.35,0.6553041434028798,1.5255535216391736,0.5777477888017892,0.00018582269603939494,0.0,,
1011,0.1,2200,2.58,0.6611813106082868,1.5289969183646894,0.6340244906395673,0.00020788218040252105,0.0,,
1011,0.1,2400,2.82,0.6506024096385542,1.5445911198407805,0.6594855099171401,0.00021033900564361828,0.0,,
1011,0.1,2600,3.05,0.6632383191301793,1.5544051203418052,0.603453448265791,0.0001976394043686014,0.0,,
1011,0.1,2800,3.29,0.6614751689685572,1.5941456595204209,0.36995446026325224,0.000122837328026435,0.0,,
1011,0.1,3000,3.52,0.6605935938877461,1.6272078586822742,0.3839149026572704,0.0001272165899626998,0.0,,
1011,0.1,3200,3.76,0.6591243020863944,1.6084918323559443,0.4009067789837718,0.00013451594092202867,0.0,,
1011,0.1,3400,3.99,0.6605935938877461,1.6128683881902568,0.401233945004642,0.0001318706193978869,0.0,,
1011,0.1,3600,4.23,0.6626506024096386,1.6540998498236752,0.22172840312297923,7.379921824767876e-05,0.0,,
1011,0.1,3800,4.46,0.6623567440493682,1.705643223763353,0.2285757609270513,7.60382873340859e-05,0.0,,
1011,0.1,4000,4.69,0.6711724948574787,1.6628212563752638,0.253648270778358,8.399856506230208e-05,0.0,,
1011,0.1,4200,4.93,0.6708786364972084,1.704205670218029,0.2509538410045207,8.727440682378074e-05,0.0,,
1011,0.1,4400,5.16,0.6670584778136938,1.7130082030524725,0.16051421528682114,5.224187224143861e-05,0.0,,
1011,0.1,4600,5.4,0.664707610931531,1.7420178631842225,0.13928430988453327,4.61333619762172e-05,0.0,,
1011,0.1,4800,5.63,0.6611813106082868,1.7679086736885898,0.133278103871271,4.5157152797514755e-05,0.0,,
1011,0.1,5000,5.87,0.6667646194534235,1.7634717843618737,0.1450815055053681,4.7682921886007537e-05,0.0,,
1011,0.1,5200,6.1,0.6608874522480165,1.8072874290327308,0.1183582212113106,3.803501852198934e-05,0.0,,
1011,0.1,5400,6.34,0.6573611519247723,1.8083716537403842,0.08434674516320229,2.601165337011935e-05,0.0,,
1011,0.1,5600,6.57,0.6644137525712607,1.820842621083334,0.09136468055192382,2.8029379705003522e-05,0.0,,
1011,0.1,5800,6.81,0.6597120188069351,1.8027207612500904,0.09197092363145203,2.8660775562912022e-05,0.0,,
1011,0.1,6000,7.04,0.6602997355274758,1.8310781447914743,0.088535386743024,2.813846110921503e-05,0.0,,
1011,0.1,4000,final,0.6711724948574787,,,,,0.6720540699382898,1.6747926293209725
1011,0.5,200,0.23,0.6329709080223332,1.575843049118598,1.8609200996160506,0.0005195861709216842,0.0001,,
1011,0.5,400,0.47,0.6300323244196298,1.511482079310029,1.634922978579998,0.00046982834530354014,0.0001,,
1011,0.5,600,0.7,0.6508962679988246,1.4895475876180697,1.5285090929269791,0.00044481706070655493,0.0001,,
1011,0.5,800,0.94,0.6494269761974728,1.4545344049496893,1.5313435474038124,0.0004479450314101996,0.0001,,
1011,0.5,1000,1.17,0.6555980017631502,1.4641308196670617,1.1190581779181956,0.0003351555753761204,0.0001,,
1011,0.5,1200,1.41,0.6564795768439612,1.4742552880991426,0.998929964452982,0.0003113361741998233,0.0002,,
1011,0.5,1400,1.64,0.6550102850426095,1.4772656049372481,0.9916212116181851,0.0003083943447563797,0.0002,,
1011,0.5,1600,1.88,0.658830443726124,1.4754734423242524,0.9953265748918056,0.00030659900898172054,0.0002,,
1011,0.5,1800,2.11,0.6555980017631502,1.5085206361087393,0.8107295744866133,0.00025289398428412823,0.0002,,
1011,0.5,2000,2.35,0.6620628856890979,1.510339881124617,0.6196303324401379,0.00019834007651297724,0.0002,,
1011,0.5,2200,2.58,0.6511901263590949,1.5446448349931678,0.6438983426988125,0.0002063993429328548,0.0002,,
1011,0.5,2400,2.82,0.6547164266823391,1.5473217746281742,0.6306327708810567,0.00020145808870438486,0.0002,,
1011,0.5,2600,3.05,0.6629444607699089,1.5560629017521905,0.5706638253945857,0.00018610772700412782,0.0002,,
1011,0.5,2800,3.29,0.657948868645313,1.5916051049110576,0.3591876236721873,0.00012043161434121429,0.0002,,
1011,0.5,3000,3.52,0.6532471348809874,1.6277552072069346,0.3850594128295779,0.00012713039464870235,0.0002,,
1011,0.5,3200,3.76,0.6555980017631502,1.634296427465277,0.3947725637629628,0.00013027526843870874,0.0002,,
1011,0.5,3400,3.99,0.6544225683220688,1.6188077984086002,0.39933095725253226,0.00013220907517279555,0.0002,,
1011,0.5,3600,4.23,0.6585365853658537,1.6711844403779474,0.22075656482949854,7.558051338719451e-05,0.0002,,
1011,0.5,3800,4.46,0.6623567440493682,1.6861618272774086,0.21991136619821192,7.391188321889786e-05,0.0002,,
1011,0.5,4000,4.69,0.6617690273288275,1.710493735975635,0.2395050955377519,8.172744711373525e-05,0.0002,,
1011,0.5,4200,4.93,0.6558918601234205,1.6984276292326168,0.2532850905507803,8.53314785490511e-05,0.0002,,
1011,0.5,4400,5.16,0.6655891860123421,1.7329063087640493,0.1709226089931326,5.7171109054183766e-05,0.0002,,
1011,0.5,4600,5.4,0.657948868645313,1.7645059090097828,0.13718224142678082,4.40705481923942e-05,0.0002,,
1011,0.5,4800,5.63,0.6576550102850426,1.7797460196615842,0.13125137677416204,4.341008856329154e-05,0.0002,,
1011,0.5,5000,5.87,0.6555980017631502,1.80256828363594,0.1367725670337677,4.6193074500706646e-05,0.0002,,
1011,0.5,5200,6.1,0.6573611519247723,1.7920444215566593,0.11676813475340168,3.7749657687273275e-05,0.0002,,
1011,0.5,5400,6.34,0.657948868645313,1.8221729914300624,0.0776676653837785,2.3688908703149993e-05,0.0002,,
1011,0.5,5600,6.57,0.6547164266823391,1.83221219842167,0.09452720489352942,3.092968913435357e-05,0.0002,,
1011,0.5,5800,6.81,0.6597120188069351,1.8392004441976757,0.09169836096465588,2.8784236476724346e-05,0.0002,,
1011,0.5,6000,7.04,0.6582427270055833,1.8543859792042927,0.09576529235811904,3.240431978429603e-05,0.0002,,
1011,0.5,4400,final,0.6655891860123421,,,,,0.6661769027328828,1.7220209187841962
1011,1.0,200,0.23,0.6267998824566559,1.5868436439647557,1.861676503121853,0.0005189372499444289,0.0003,,
1011,1.0,400,0.47,0.6423743755509844,1.540835840086218,1.563789412677288,0.0004542386519460706,0.0003,,
1011,1.0,600,0.7,0.640317367029092,1.4990432281337203,1.559532450735569,0.00045097121008438987,0.0003,,
1011,1.0,800,0.94,0.6544225683220688,1.4496570367726234,1.523477697968483,0.00044617083978664595,0.0003,,
1011,1.0,1000,1.17,0.6550102850426095,1.4629518386724238,1.126718158721924,0.0003467976857064059,0.0003,,
